#ROD_Channel ROC_Channel Straw# HW_addr Board GOL
46 10 338 3 2S 1
46 11 416 3 2S 1
46 12 399 3 2S 1
46 13 379 3 2S 1
46 14 359 3 2S 1
46 15 340 3 2S 1
48 0 333 4 2S 1
48 1 372 4 2S 1
48 2 353 4 2S 1
48 3 371 4 2S 1
48 4 335 4 2S 1
48 5 395 4 2S 1
48 6 354 4 2S 1
48 7 396 4 2S 1
48 8 373 4 2S 1
48 9 394 4 2S 1
48 10 352 4 2S 1
48 11 374 4 2S 1
48 12 334 4 2S 1
48 13 375 4 2S 1
48 14 355 4 2S 1
48 15 336 4 2S 1
50 0 330 5 2S 1
50 1 369 5 2S 1
50 2 329 5 2S 1
50 3 370 5 2S 1
50 4 331 5 2S 1
50 5 412 5 2S 1
50 6 351 5 2S 1
50 7 393 5 2S 1
50 8 392 5 2S 1
50 9 391 5 2S 1
50 10 348 5 2S 1
50 11 431 5 2S 1
50 12 432 5 2S 1
50 13 349 5 2S 1
50 14 350 5 2S 1
50 15 332 5 2S 1
52 0 474 6 2S 1
52 1 476 6 2S 1
52 2 433 6 2S 1
52 3 497 6 2S 1
52 4 453 6 2S 1
52 5 478 6 2S 1
52 6 455 6 2S 1
52 7 477 6 2S 1
52 8 475 6 2S 1
52 9 498 6 2S 1
52 10 435 6 2S 1
52 11 519 6 2S 1
52 12 454 6 2S 1
52 13 436 6 2S 1
52 14 434 6 2S 1
52 15 413 6 2S 1
54 0 457 7 2S 1
54 1 456 7 2S 1
54 2 415 7 2S 1
54 3 479 7 2S 1
54 4 438 7 2S 1
54 5 480 7 2S 1
54 6 417 7 2S 1
54 7 459 7 2S 1
54 8 458 7 2S 1
54 9 414 7 2S 1
54 10 437 7 2S 1
54 11 499 7 2S 1
54 12 481 7 2S 1
54 13 460 7 2S 1
54 14 418 7 2S 1
54 15 439 7 2S 1
56 0 419 8 2S 1
56 1 482 8 2S 1
56 2 440 8 2S 1
56 3 461 8 2S 1
56 4 442 8 2S 1
56 5 484 8 2S 1
56 6 421 8 2S 1
56 7 463 8 2S 1
56 8 420 8 2S 1
56 9 462 8 2S 1
56 10 441 8 2S 1
56 11 483 8 2S 1
56 12 464 8 2S 1
56 13 485 8 2S 1
56 14 422 8 2S 1
56 15 443 8 2S 1
58 0 423 9 2S 1
58 1 486 9 2S 1
58 2 444 9 2S 1
58 3 465 9 2S 1
58 4 426 9 2S 1
58 5 467 9 2S 1
58 6 425 9 2S 1
58 7 488 9 2S 1
58 8 487 9 2S 1
58 9 466 9 2S 1
58 10 424 9 2S 1
58 11 468 9 2S 1
58 12 445 9 2S 1
58 13 447 9 2S 1
58 14 489 9 2S 1
58 15 446 9 2S 1
60 0 528 10 2S 1
60 1 571 10 2S 1
60 2 507 10 2S 1
60 3 549 10 2S 1
60 4 509 10 2S 1
60 5 573 10 2S 1
60 6 530 10 2S 1
60 7 551 10 2S 1
60 8 550 10 2S 1
60 9 529 10 2S 1
60 10 572 10 2S 1
60 11 574 10 2S 1
60 12 508 10 2S 1
60 13 531 10 2S 1
60 14 552 10 2S 1
60 15 510 10 2S 1
62 0 524 11 2S 1
62 1 545 11 2S 1
62 2 525 11 2S 1
62 3 567 11 2S 1
62 4 505 11 2S 1
62 5 569 11 2S 1
62 6 526 11 2S 1
62 7 547 11 2S 1
62 8 568 11 2S 1
62 9 546 11 2S 1
62 10 503 11 2S 1
62 11 570 11 2S 1
62 12 548 11 2S 1
62 13 506 11 2S 1
62 14 504 11 2S 1
62 15 527 11 2S 1
64 0 500 12 2S 1
64 1 542 12 2S 1
64 2 520 12 2S 1
64 3 543 12 2S 1
64 4 501 12 2S 1
64 5 587 12 2S 1
64 6 522 12 2S 1
64 7 566 12 2S 1
64 8 565 12 2S 1
