This is the correspondance between 3 ways to identify Pixel, IBL and DBM modules:

1) The Identifier column, an integer computed from the identifier between []
2) The Id between [ ]:
    3rd number: -4 for DBM C, + 4 for DBM A
                -2 for ECC, +2 for ECA
		 0 for Barrel
    4th digit: disks for DBM, ECC and ECA
               Layer for barrel : 0 for IBL, 1 for B-layer, 2 for Layer 1 and 3 for layer 2.
    5th digit: Phi module
    6th digit: Eta module
    
    In occupancy plots and several outputs, (eta,phi) are the digits 6 and 5.
    
3) The Module name: a "human" readable name, with geographic informations (disks, bistave, stave, eta and phi indices)     	        		 


PixMapOverlayWr...   INFO HashID   IDentifier                   Module name         	Status
PixMapOverlayWr...   INFO   101     23678976  [2.1.-2.1.41.0.0.0]D2C-B04-S2-M1   
PixMapOverlayWr...   INFO   102     23744512  [2.1.-2.1.42.0.0.0]D2C-B01-S1-M4   
PixMapOverlayWr...   INFO   103     23810048  [2.1.-2.1.43.0.0.0]D2C-B01-S1-M3   
PixMapOverlayWr...   INFO   104     23875584  [2.1.-2.1.44.0.0.0]D2C-B01-S1-M5   
PixMapOverlayWr...   INFO   105     23941120  [2.1.-2.1.45.0.0.0]D2C-B01-S1-M2   
PixMapOverlayWr...   INFO   106     24006656  [2.1.-2.1.46.0.0.0]D2C-B01-S1-M6   
PixMapOverlayWr...   INFO   107     24072192  [2.1.-2.1.47.0.0.0]D2C-B01-S1-M1   
PixMapOverlayWr...   INFO   108     25186304  [2.1.-2.2.0.0.0.0] D3C-B01-S2-M4   
PixMapOverlayWr...   INFO   109     25251840  [2.1.-2.2.1.0.0.0] D3C-B01-S2-M3   
PixMapOverlayWr...   INFO   110     25317376  [2.1.-2.2.2.0.0.0] D3C-B01-S2-M5   
PixMapOverlayWr...   INFO   111     25382912  [2.1.-2.2.3.0.0.0] D3C-B01-S2-M2   
PixMapOverlayWr...   INFO   112     25448448  [2.1.-2.2.4.0.0.0] D3C-B01-S2-M6   
PixMapOverlayWr...   INFO   113     25513984  [2.1.-2.2.5.0.0.0] D3C-B01-S2-M1   
PixMapOverlayWr...   INFO   114     25579520  [2.1.-2.2.6.0.0.0] D3C-B02-S1-M4   
PixMapOverlayWr...   INFO   115     25645056  [2.1.-2.2.7.0.0.0] D3C-B02-S1-M3   
PixMapOverlayWr...   INFO   116     25710592  [2.1.-2.2.8.0.0.0] D3C-B02-S1-M5   
PixMapOverlayWr...   INFO   117     25776128  [2.1.-2.2.9.0.0.0] D3C-B02-S1-M2   
PixMapOverlayWr...   INFO   118     25841664  [2.1.-2.2.10.0.0.0]D3C-B02-S1-M6   
PixMapOverlayWr...   INFO   119     25907200  [2.1.-2.2.11.0.0.0]D3C-B02-S1-M1   
PixMapOverlayWr...   INFO   120     25972736  [2.1.-2.2.12.0.0.0]D3C-B02-S2-M4   
PixMapOverlayWr...   INFO   121     26038272  [2.1.-2.2.13.0.0.0]D3C-B02-S2-M3   
PixMapOverlayWr...   INFO   122     26103808  [2.1.-2.2.14.0.0.0]D3C-B02-S2-M5   
PixMapOverlayWr...   INFO   123     26169344  [2.1.-2.2.15.0.0.0]D3C-B02-S2-M2   
PixMapOverlayWr...   INFO   124     26234880  [2.1.-2.2.16.0.0.0]D3C-B02-S2-M6   
PixMapOverlayWr...   INFO   125     26300416  [2.1.-2.2.17.0.0.0]D3C-B02-S2-M1   
PixMapOverlayWr...   INFO   126     26365952  [2.1.-2.2.18.0.0.0]D3C-B03-S1-M4   
PixMapOverlayWr...   INFO   127     26431488  [2.1.-2.2.19.0.0.0]D3C-B03-S1-M3   
PixMapOverlayWr...   INFO   128     26497024  [2.1.-2.2.20.0.0.0]D3C-B03-S1-M5   
PixMapOverlayWr...   INFO   129     26562560  [2.1.-2.2.21.0.0.0]D3C-B03-S1-M2   
PixMapOverlayWr...   INFO   130     26628096  [2.1.-2.2.22.0.0.0]D3C-B03-S1-M6   
PixMapOverlayWr...   INFO   131     26693632  [2.1.-2.2.23.0.0.0]D3C-B03-S1-M1   
PixMapOverlayWr...   INFO   132     26759168  [2.1.-2.2.24.0.0.0]D3C-B03-S2-M4   
PixMapOverlayWr...   INFO   133     26824704  [2.1.-2.2.25.0.0.0]D3C-B03-S2-M3   
PixMapOverlayWr...   INFO   134     26890240  [2.1.-2.2.26.0.0.0]D3C-B03-S2-M5   
PixMapOverlayWr...   INFO   135     26955776  [2.1.-2.2.27.0.0.0]D3C-B03-S2-M2   
PixMapOverlayWr...   INFO   136     27021312  [2.1.-2.2.28.0.0.0]D3C-B03-S2-M6   
PixMapOverlayWr...   INFO   137     27086848  [2.1.-2.2.29.0.0.0]D3C-B03-S2-M1   
PixMapOverlayWr...   INFO   138     27152384  [2.1.-2.2.30.0.0.0]D3C-B04-S1-M4   
PixMapOverlayWr...   INFO   139     27217920  [2.1.-2.2.31.0.0.0]D3C-B04-S1-M3   
PixMapOverlayWr...   INFO   140     27283456  [2.1.-2.2.32.0.0.0]D3C-B04-S1-M5   
PixMapOverlayWr...   INFO   141     27348992  [2.1.-2.2.33.0.0.0]D3C-B04-S1-M2   
PixMapOverlayWr...   INFO   142     27414528  [2.1.-2.2.34.0.0.0]D3C-B04-S1-M6   
PixMapOverlayWr...   INFO   143     27480064  [2.1.-2.2.35.0.0.0]D3C-B04-S1-M1   
PixMapOverlayWr...   INFO   144     27545600  [2.1.-2.2.36.0.0.0]D3C-B04-S2-M4   
PixMapOverlayWr...   INFO   145     27611136  [2.1.-2.2.37.0.0.0]D3C-B04-S2-M3   
PixMapOverlayWr...   INFO   146     27676672  [2.1.-2.2.38.0.0.0]D3C-B04-S2-M5   
PixMapOverlayWr...   INFO   147     27742208  [2.1.-2.2.39.0.0.0]D3C-B04-S2-M2   
PixMapOverlayWr...   INFO   148     27807744  [2.1.-2.2.40.0.0.0]D3C-B04-S2-M6   
PixMapOverlayWr...   INFO   149     27873280  [2.1.-2.2.41.0.0.0]D3C-B04-S2-M1   
PixMapOverlayWr...   INFO   150     27938816  [2.1.-2.2.42.0.0.0]D3C-B01-S1-M4   
PixMapOverlayWr...   INFO   151     28004352  [2.1.-2.2.43.0.0.0]D3C-B01-S1-M3   
PixMapOverlayWr...   INFO   152     28069888  [2.1.-2.2.44.0.0.0]D3C-B01-S1-M5   
PixMapOverlayWr...   INFO   153     28135424  [2.1.-2.2.45.0.0.0]D3C-B01-S1-M2   
PixMapOverlayWr...   INFO   154     28200960  [2.1.-2.2.46.0.0.0]D3C-B01-S1-M6   
PixMapOverlayWr...   INFO   155     28266496  [2.1.-2.2.47.0.0.0]D3C-B01-S1-M1   
PixMapOverlayWr...   INFO   156     33554432  [2.1.0.0.0.-10.0.0]LI_S01_C_M4_C8_2
PixMapOverlayWr...   INFO   157     33556480  [2.1.0.0.0.-9.0.0] LI_S01_C_M4_C8_1
PixMapOverlayWr...   INFO   158     33558528  [2.1.0.0.0.-8.0.0] LI_S01_C_M4_C7_2
PixMapOverlayWr...   INFO   159     33560576  [2.1.0.0.0.-7.0.0] LI_S01_C_M4_C7_1
PixMapOverlayWr...   INFO   160     33562624  [2.1.0.0.0.-6.0.0] LI_S01_C_M3_C6
PixMapOverlayWr...   INFO   161     33564672  [2.1.0.0.0.-5.0.0] LI_S01_C_M3_C5
PixMapOverlayWr...   INFO   162     33566720  [2.1.0.0.0.-4.0.0] LI_S01_C_M2_C4
PixMapOverlayWr...   INFO   163     33568768  [2.1.0.0.0.-3.0.0] LI_S01_C_M2_C3
PixMapOverlayWr...   INFO   164     33570816  [2.1.0.0.0.-2.0.0] LI_S01_C_M1_C2
PixMapOverlayWr...   INFO   165     33572864  [2.1.0.0.0.-1.0.0] LI_S01_C_M1_C1
PixMapOverlayWr...   INFO   166     33574912  [2.1.0.0.0.0.0.0]  LI_S01_A_M1_A1
PixMapOverlayWr...   INFO   167     33576960  [2.1.0.0.0.1.0.0]  LI_S01_A_M1_A2
PixMapOverlayWr...   INFO   168     33579008  [2.1.0.0.0.2.0.0]  LI_S01_A_M2_A3
PixMapOverlayWr...   INFO   169     33581056  [2.1.0.0.0.3.0.0]  LI_S01_A_M2_A4
PixMapOverlayWr...   INFO   170     33583104  [2.1.0.0.0.4.0.0]  LI_S01_A_M3_A5
PixMapOverlayWr...   INFO   171     33585152  [2.1.0.0.0.5.0.0]  LI_S01_A_M3_A6
PixMapOverlayWr...   INFO   172     33587200  [2.1.0.0.0.6.0.0]  LI_S01_A_M4_A7_1
PixMapOverlayWr...   INFO   173     33589248  [2.1.0.0.0.7.0.0]  LI_S01_A_M4_A7_2
PixMapOverlayWr...   INFO   174     33591296  [2.1.0.0.0.8.0.0]  LI_S01_A_M4_A8_1
PixMapOverlayWr...   INFO   175     33593344  [2.1.0.0.0.9.0.0]  LI_S01_A_M4_A8_2
PixMapOverlayWr...   INFO   176     33619968  [2.1.0.0.1.-10.0.0]LI_S02_C_M4_C8_2
PixMapOverlayWr...   INFO   177     33622016  [2.1.0.0.1.-9.0.0] LI_S02_C_M4_C8_1
PixMapOverlayWr...   INFO   178     33624064  [2.1.0.0.1.-8.0.0] LI_S02_C_M4_C7_2
PixMapOverlayWr...   INFO   179     33626112  [2.1.0.0.1.-7.0.0] LI_S02_C_M4_C7_1
PixMapOverlayWr...   INFO   180     33628160  [2.1.0.0.1.-6.0.0] LI_S02_C_M3_C6
PixMapOverlayWr...   INFO   181     33630208  [2.1.0.0.1.-5.0.0] LI_S02_C_M3_C5
PixMapOverlayWr...   INFO   182     33632256  [2.1.0.0.1.-4.0.0] LI_S02_C_M2_C4
PixMapOverlayWr...   INFO   183     33634304  [2.1.0.0.1.-3.0.0] LI_S02_C_M2_C3
PixMapOverlayWr...   INFO   184     33636352  [2.1.0.0.1.-2.0.0] LI_S02_C_M1_C2
PixMapOverlayWr...   INFO   185     33638400  [2.1.0.0.1.-1.0.0] LI_S02_C_M1_C1
PixMapOverlayWr...   INFO   186     33640448  [2.1.0.0.1.0.0.0]  LI_S02_A_M1_A1
PixMapOverlayWr...   INFO   187     33642496  [2.1.0.0.1.1.0.0]  LI_S02_A_M1_A2
PixMapOverlayWr...   INFO   188     33644544  [2.1.0.0.1.2.0.0]  LI_S02_A_M2_A3
PixMapOverlayWr...   INFO   189     33646592  [2.1.0.0.1.3.0.0]  LI_S02_A_M2_A4
PixMapOverlayWr...   INFO   190     33648640  [2.1.0.0.1.4.0.0]  LI_S02_A_M3_A5
PixMapOverlayWr...   INFO   191     33650688  [2.1.0.0.1.5.0.0]  LI_S02_A_M3_A6
PixMapOverlayWr...   INFO   192     33652736  [2.1.0.0.1.6.0.0]  LI_S02_A_M4_A7_1
PixMapOverlayWr...   INFO   193     33654784  [2.1.0.0.1.7.0.0]  LI_S02_A_M4_A7_2
PixMapOverlayWr...   INFO   194     33656832  [2.1.0.0.1.8.0.0]  LI_S02_A_M4_A8_1
PixMapOverlayWr...   INFO   195     33658880  [2.1.0.0.1.9.0.0]  LI_S02_A_M4_A8_2
PixMapOverlayWr...   INFO   196     33685504  [2.1.0.0.2.-10.0.0]LI_S03_C_M4_C8_2
PixMapOverlayWr...   INFO   197     33687552  [2.1.0.0.2.-9.0.0] LI_S03_C_M4_C8_1
PixMapOverlayWr...   INFO   198     33689600  [2.1.0.0.2.-8.0.0] LI_S03_C_M4_C7_2
PixMapOverlayWr...   INFO   199     33691648  [2.1.0.0.2.-7.0.0] LI_S03_C_M4_C7_1
PixMapOverlayWr...   INFO   200     33693696  [2.1.0.0.2.-6.0.0] LI_S03_C_M3_C6
PixMapOverlayWr...   INFO   201     33695744  [2.1.0.0.2.-5.0.0] LI_S03_C_M3_C5
PixMapOverlayWr...   INFO   202     33697792  [2.1.0.0.2.-4.0.0] LI_S03_C_M2_C4
PixMapOverlayWr...   INFO   203     33699840  [2.1.0.0.2.-3.0.0] LI_S03_C_M2_C3
PixMapOverlayWr...   INFO   204     33701888  [2.1.0.0.2.-2.0.0] LI_S03_C_M1_C2
PixMapOverlayWr...   INFO   205     33703936  [2.1.0.0.2.-1.0.0] LI_S03_C_M1_C1
PixMapOverlayWr...   INFO   206     33705984  [2.1.0.0.2.0.0.0]  LI_S03_A_M1_A1
PixMapOverlayWr...   INFO   207     33708032  [2.1.0.0.2.1.0.0]  LI_S03_A_M1_A2
