EMBA 15 125 3 4 9L 24 
EMBA 15 126 3 4 10R 4 
EMBA 15 126 3 4 10L 23 
EMBA 15 127 3 4 10R 5 
EMBA 15 127 3 4 10L 24 
EMBA 16 128 3 5 11R 4 
EMBA 16 128 3 5 11L 23 
EMBA 16 129 3 5 11R 5 
EMBA 16 129 3 5 11L 24 
EMBA 16 130 3 5 12R 4 
EMBA 16 130 3 5 12L 23 
EMBA 16 131 3 5 12R 5 
EMBA 16 131 3 5 12L 24 
EMBA 16 132 3 6 9R 6 
EMBA 16 132 3 6 9L 25 
EMBA 16 133 3 6 9R 7 
EMBA 16 133 3 6 9L 26 
EMBA 16 134 3 6 10R 6 
EMBA 16 134 3 6 10L 25 
EMBA 16 135 3 6 10R 7 
EMBA 16 135 3 6 10L 26 
EMBA 17 136 3 7 11R 6 
EMBA 17 136 3 7 11L 25 
EMBA 17 137 3 7 11R 7 
EMBA 17 137 3 7 11L 26 
EMBA 17 138 3 7 12R 6 
EMBA 17 138 3 7 12L 25 
EMBA 17 139 3 7 12R 7 
EMBA 17 139 3 7 12L 26 
EMBA 17 140 3 8 9R 8 
EMBA 17 140 3 8 9L 27 
EMBA 17 141 3 8 10R 8 
EMBA 17 141 3 8 10L 27 
EMBA 17 142 3 8 11R 8 
EMBA 17 142 3 8 11L 27 
EMBA 17 143 3 8 12R 8 
EMBA 17 143 3 8 12L 27 
EMBA 18 144 3 9 9R 11 
EMBA 18 144 3 9 9L 30 
EMBA 18 145 3 9 10R 11 
EMBA 18 145 3 9 10L 30 
EMBA 18 146 3 9 11R 11 
EMBA 18 146 3 9 11L 30 
EMBA 18 147 3 9 12R 11 
EMBA 18 147 3 9 12L 30 
EMBA 18 148 3 10 9R 12
EMBA 18 148 3 10 9L 31
EMBA 18 149 3 10 10R 12
EMBA 18 149 3 10 10L 31
EMBA 18 150 3 10 11R 12
EMBA 18 150 3 10 11L 31
EMBA 18 151 3 10 12R 12
EMBA 18 151 3 10 12L 31
EMBA 18 148 3 10 9R 12 
EMBA 18 148 3 10 9L 31
EMBA 18 149 3 10 10R 12
EMBA 18 149 3 10 10L 31
EMBA 18 150 3 10 11R 12
EMBA 18 150 3 10 11L 31
EMBA 18 151 3 10 12R 12
EMBA 18 151 3 10 12L 31
EMBA 18 148 3 10 9R 12
EMBA 18 148 3 10 9L 31
EMBA 18 149 3 10 10R 12
EMBA 18 149 3 10 10L 31
EMBA 18 150 3 10 11R 12
EMBA 18 150 3 10 11L 31
EMBA 18 151 3 10 12R 12
EMBA 18 151 3 10 12L 31
EMBA 19 152 3 11 9R 13 
EMBA 19 152 3 11 9L 32 
EMBA 19 153 3 11 10R 13 
EMBA 19 153 3 11 10L 32 
EMBA 19 154 3 11 11R 13 
EMBA 19 154 3 11 11L 32 
EMBA 19 155 3 11 12R 13 
EMBA 19 155 3 11 12L 32 
EMBA 19 156 3 12 9R 14 
EMBA 19 156 3 12 9L 33 
EMBA 19 157 3 12 10R 14 
EMBA 19 157 3 12 10L 33 
EMBA 19 158 3 12 11R 14 
EMBA 19 158 3 12 11L 33 
EMBA 19 159 3 12 12R 14 
EMBA 19 159 3 12 12L 33 
EMBA 20 160 3 13 9R 15 
EMBA 20 160 3 13 9L 34 
EMBA 20 161 3 13 10R 15 
EMBA 20 161 3 13 10L 34 
EMBA 20 162 3 13 11R 15 
EMBA 20 162 3 13 11L 34 
EMBA 20 163 3 13 12R 15 
EMBA 20 163 3 13 12L 34 
EMBA 20 164 3 14 9R 16 
EMBA 20 164 3 14 9L 35 
EMBA 20 165 3 14 10R 16 
EMBA 20 165 3 14 10L 35 
EMBA 20 166 3 14 11R 16 
EMBA 20 166 3 14 11L 35 
EMBA 20 167 3 14 12R 16 
EMBA 20 167 3 14 12L 35 
EMBA 21 168 4 1 13R 1 
EMBA 21 168 4 1 13L 20 
EMBA 21 169 4 1 14R 1 
EMBA 21 169 4 1 14L 20 
EMBA 21 170 4 1 15R 1 
EMBA 21 170 4 1 15L 20 
EMBA 21 171 4 1 16R 1 
EMBA 21 171 4 1 16L 20 
EMBA 21 172 4 2 13R 2 
EMBA 21 172 4 2 13L 21 
EMBA 21 173 4 2 13R 3 
EMBA 21 173 4 2 13L 22 
EMBA 21 174 4 2 14R 2 
EMBA 21 174 4 2 14L 21 
EMBA 21 175 4 2 14R 3 
EMBA 21 175 4 2 14L 22 
EMBA 22 176 4 3 15R 2 
EMBA 22 176 4 3 15L 21 
EMBA 22 177 4 3 15R 3 
EMBA 22 177 4 3 15L 22 
EMBA 22 178 4 3 16R 2 
EMBA 22 178 4 3 16L 21 
EMBA 22 179 4 3 16R 3 
EMBA 22 179 4 3 16L 22 
EMBA 22 180 4 4 13R 4 
EMBA 22 180 4 4 13L 23 
EMBA 22 181 4 4 13R 5 
EMBA 22 181 4 4 13L 24 
EMBA 22 182 4 4 14R 4 
EMBA 22 182 4 4 14L 23 
EMBA 22 183 4 4 14R 5 
EMBA 22 183 4 4 14L 24 
EMBA 23 184 4 5 15R 4 
EMBA 23 184 4 5 15L 23 
EMBA 23 185 4 5 15R 5 
EMBA 23 185 4 5 15L 24 
EMBA 23 186 4 5 16R 4 
EMBA 23 186 4 5 16L 23 
EMBA 23 187 4 5 16R 5 
EMBA 23 187 4 5 16L 24 
EMBA 23 188 4 6 13R 6 
EMBA 23 188 4 6 13L 25 
EMBA 23 189 4 6 13R 7 
EMBA 23 189 4 6 13L 26 
EMBA 23 190 4 6 14R 6 
EMBA 23 190 4 6 14L 25 
EMBA 23 191 4 6 14R 7 
EMBA 23 191 4 6 14L 26 
EMBA 24 192 4 7 15R 6 
EMBA 24 192 4 7 15L 25 
EMBA 24 193 4 7 15R 7 
EMBA 24 193 4 7 15L 26 
EMBA 24 194 4 7 16R 6 
EMBA 24 194 4 7 16L 25 
EMBA 24 195 4 7 16R 7 
EMBA 24 195 4 7 16L 26 
EMBA 24 196 4 8 13R 8 
EMBA 24 196 4 8 13L 27 
EMBA 24 197 4 8 14R 8 
EMBA 24 197 4 8 14L 27 
EMBA 24 198 4 8 15R 8 
EMBA 24 198 4 8 15L 27 
EMBA 24 199 4 8 16R 8 
EMBA 24 199 4 8 16L 27 
EMBA 25 200 4 9 13R 11 
EMBA 25 200 4 9 13L 30 
