eta_min   eta_max   phi_min   phi_max    name
-0.4      0.0       -1.750   -1.390	 BARm000BL13
-0.4      0.0       -1.390   -0.965	 BARm000BS14
-0.4      0.0       -0.965   -0.605	 BARm000BL15
-0.4      0.0       -0.605   -0.180	 BARm000BS16
-0.4      0.0       -0.180    0.180	 BARm000BL1
-0.4      0.0        0.180    0.605	 BARm000BS2
-0.4      0.0        0.605    0.965  	 BARm000BL3
-0.4      0.0        0.965    1.390  	 BARm000BS4
-0.4      0.0        1.390    1.750  	 BARm000BL5
-0.4      0.0        1.750    2.175  	 BARm000BS6
-0.4      0.0        2.175    2.535  	 BARm000BL7
-0.4      0.0        2.535    2.960  	 BARm000BS8
0.0       0.4        2.960   -2.960	 BARp000BL9
0.0       0.4       -2.960   -2.535	 BARp000BS10
0.0       0.4       -2.535   -2.175	 BARp000BL11
0.0       0.4       -2.175   -1.750	 BARp000BS12
0.0       0.4       -1.750   -1.390	 BARp000BL13
0.0       0.4       -1.390   -0.965	 BARp000BS14
0.0       0.4       -0.965   -0.605	 BARp000BL15
0.0       0.4       -0.605   -0.180	 BARp000BS16
0.0       0.4       -0.180    0.180	 BARp000BL1
0.0       0.4        0.180    0.605	 BARp000BS2
0.0       0.4        0.605    0.965  	 BARp000BL3
0.0       0.4        0.965    1.390  	 BARp000BS4
0.0       0.4        1.390    1.750  	 BARp000BL5
0.0       0.4        1.750    2.175  	 BARp000BS6
0.0       0.4        2.175    2.535  	 BARp000BL7
0.0       0.4        2.535    2.960  	 BARp000BS8
0.4       0.8        2.960   -2.960	 BARp040BL9
0.4       0.8       -2.960   -2.535	 BARp040BS10
0.4       0.8       -2.535   -2.175	 BARp040BL11
0.4       0.8       -2.175   -1.750	 BARp040BS12
0.4       0.8       -1.750   -1.390	 BARp040BL13
0.4       0.8       -1.390   -0.965	 BARp040BS14
0.4       0.8       -0.965   -0.605	 BARp040BL15
0.4       0.8       -0.605   -0.180	 BARp040BS16
0.4       0.8       -0.180    0.180	 BARp040BL1
0.4       0.8        0.180    0.605	 BARp040BS2
0.4       0.8        0.605    0.965  	 BARp040BL3
0.4       0.8        0.965    1.390  	 BARp040BS4
0.4       0.8        1.390    1.750  	 BARp040BL5
0.4       0.8        1.750    2.175  	 BARp040BS6
0.4       0.8        2.175    2.535  	 BARp040BL7
0.4       0.8        2.535    2.960  	 BARp040BS8
0.8       1.05       2.960   -2.960	 BARp080BL9
0.8       1.05      -2.960   -2.535	 BARp080BS10
0.8       1.05      -2.535   -2.175	 BARp080BL11
0.8       1.05      -2.175   -1.750	 BARp080BS12
0.8       1.05      -1.750   -1.390	 BARp080BL13
0.8       1.05      -1.390   -0.965	 BARp080BS14
0.8       1.05      -0.965   -0.605	 BARp080BL15
0.8       1.05      -0.605   -0.180	 BARp080BS16
0.8       1.05      -0.180    0.180	 BARp080BL1
0.8       1.05       0.180    0.605	 BARp080BS2
0.8       1.05       0.605    0.965  	 BARp080BL3
0.8       1.05       0.965    1.390  	 BARp080BS4
0.8       1.05       1.390    1.750  	 BARp080BL5
0.8       1.05       1.750    2.175  	 BARp080BS6
0.8       1.05       2.175    2.535  	 BARp080BL7
0.8       1.05       2.535    2.960  	 BARp080BS8
1.05      1.25       3.011   -3.011	 TRAp105EL9
1.05      1.25      -3.011   -2.487	 TRAp105ES10
1.05      1.25      -2.487   -2.225	 TRAp105EL11
1.05      1.25      -2.225   -1.702	 TRAp105ES12
1.05      1.25      -1.702   -1.440	 TRAp105EL13
1.05      1.25      -1.440   -0.916	 TRAp105ES14
1.05      1.25      -0.916   -0.655	 TRAp105EL15
1.05      1.25      -0.655   -0.131	 TRAp105ES16
1.05      1.25      -0.131    0.131	 TRAp105EL1
1.05      1.25       0.131    0.655	 TRAp105ES2
1.05      1.25       0.655    0.916  	 TRAp105EL3
1.05      1.25       0.916    1.440  	 TRAp105ES4
1.05      1.25       1.440    1.702  	 TRAp105EL5
1.05      1.25       1.702    2.225  	 TRAp105ES6
1.05      1.25       2.225    2.487  	 TRAp105EL7
1.05      1.25       2.487    3.011  	 TRAp105ES8
1.25      1.5       3.011   -3.011	 TRAp125EL9
1.25      1.5      -3.011   -2.487	 TRAp125ES10
1.25      1.5      -2.487   -2.225	 TRAp125EL11
1.25      1.5      -2.225   -1.702	 TRAp125ES12
1.25      1.5      -1.702   -1.440	 TRAp125EL13
1.25      1.5      -1.440   -0.916	 TRAp125ES14
1.25      1.5      -0.916   -0.655	 TRAp125EL15
1.25      1.5      -0.655   -0.131	 TRAp125ES16
1.25      1.5      -0.131    0.131	 TRAp125EL1
1.25      1.5       0.131    0.655	 TRAp125ES2
1.25      1.5       0.655    0.916  	 TRAp125EL3
1.25      1.5       0.916    1.440  	 TRAp125ES4
1.25      1.5       1.440    1.702  	 TRAp125EL5
1.25      1.5       1.702    2.225  	 TRAp125ES6
1.25      1.5       2.225    2.487  	 TRAp125EL7
1.25      1.5       2.487    3.011  	 TRAp125ES8
1.5       1.7       3.011   -3.011	 TRAp150EL9
1.5       1.7      -3.011   -2.487	 TRAp150ES10
1.5       1.7      -2.487   -2.225	 TRAp150EL11
1.5       1.7      -2.225   -1.702	 TRAp150ES12
1.5       1.7      -1.702   -1.440	 TRAp150EL13
1.5       1.7      -1.440   -0.916	 TRAp150ES14
1.5       1.7      -0.916   -0.655	 TRAp150EL15
1.5       1.7      -0.655   -0.131	 TRAp150ES16
1.5       1.7      -0.131    0.131	 TRAp150EL1
1.5       1.7       0.131    0.655	 TRAp150ES2
1.5       1.7       0.655    0.916  	 TRAp150EL3
1.5       1.7       0.916    1.440  	 TRAp150ES4
1.5       1.7       1.440    1.702  	 TRAp150EL5
1.5       1.7       1.702    2.225  	 TRAp150ES6
1.5       1.7       2.225    2.487  	 TRAp150EL7
1.5       1.7       2.487    3.011  	 TRAp150ES8
1.7       2.0       3.011   -3.011	 ENDp170EL9
1.7       2.0      -3.011   -2.487	 ENDp170ES10
1.7       2.0      -2.487   -2.225	 ENDp170EL11
1.7       2.0      -2.225   -1.702	 ENDp170ES12
1.7       2.0      -1.702   -1.440	 ENDp170EL13
1.7       2.0      -1.440   -0.916	 ENDp170ES14
1.7       2.0      -0.916   -0.655	 ENDp170EL15
1.7       2.0      -0.655   -0.131	 ENDp170ES16
1.7       2.0      -0.131    0.131	 ENDp170EL1
1.7       2.0       0.131    0.655	 ENDp170ES2
1.7       2.0       0.655    0.916  	 ENDp170EL3
1.7       2.0       0.916    1.440  	 ENDp170ES4
1.7       2.0       1.440    1.702  	 ENDp170EL5
1.7       2.0       1.702    2.225  	 ENDp170ES6
1.7       2.0       2.225    2.487  	 ENDp170EL7
1.7       2.0       2.487    3.011  	 ENDp170ES8
2.0       2.3      3.011   -3.011	 CSCp200EL9
2.0       2.3     -3.011   -2.487	 CSCp200ES10
2.0       2.3     -2.487   -2.225	 CSCp200EL11
2.0       2.3     -2.225   -1.702	 CSCp200ES12
2.0       2.3     -1.702   -1.440	 CSCp200EL13
2.0       2.3     -1.440   -0.916	 CSCp200ES14
2.0       2.3     -0.916   -0.655	 CSCp200EL15
2.0       2.3     -0.655   -0.131	 CSCp200ES16
2.0       2.3     -0.131    0.131	 CSCp200EL1
2.0       2.3      0.131    0.655	 CSCp200ES2
2.0       2.3      0.655    0.916  	 CSCp200EL3
2.0       2.3      0.916    1.440  	 CSCp200ES4
2.0       2.3      1.440    1.702  	 CSCp200EL5
2.0       2.3      1.702    2.225  	 CSCp200ES6
2.0       2.3      2.225    2.487  	 CSCp200EL7
2.0       2.3      2.487    3.011  	 CSCp200ES8
2.3      2.9       3.011   -3.011	 CSCp230EL9
2.3      2.9      -3.011   -2.487	 CSCp230ES10
2.3      2.9      -2.487   -2.225	 CSCp230EL11
2.3      2.9      -2.225   -1.702	 CSCp230ES12
2.3      2.9      -1.702   -1.440	 CSCp230EL13
2.3      2.9      -1.440   -0.916	 CSCp230ES14
2.3      2.9      -0.916   -0.655	 CSCp230EL15
2.3      2.9      -0.655   -0.131	 CSCp230ES16
2.3      2.9      -0.131    0.131	 CSCp230EL1
2.3      2.9       0.131    0.655	 CSCp230ES2
2.3      2.9       0.655    0.916  	 CSCp230EL3
2.3      2.9       0.916    1.440  	 CSCp230ES4
2.3      2.9       1.440    1.702  	 CSCp230EL5
2.3      2.9       1.702    2.225  	 CSCp230ES6
2.3      2.9       2.225    2.487  	 CSCp230EL7
2.3      2.9       2.487    3.011  	 CSCp230ES8
