# DID     FS     CROSSECTION[pb]   K-FACTOR      FILTEREFF    REL.UNCERT
374388     2      0.0001260009      1.00000000    1.00000000   0.41046334
374389     2      0.0001260009      1.00000000    1.00000000   0.41046334
374390     2      0.0001260009      1.00000000    1.00000000   0.41046334
374391     2      0.0001260009      1.00000000    1.00000000   0.41046334
374392     2      0.0001260009      1.00000000    1.00000000   0.41046334
374393     2      0.0001260009      1.00000000    1.00000000   0.41046334
374394     2      0.0001260009      1.00000000    1.00000000   0.41046334
374395     2      0.0001260009      1.00000000    1.00000000   0.41046334
374396     2      0.0001260009      1.00000000    1.00000000   0.41046334
374397     2      0.0001260009      1.00000000    1.00000000   0.41046334
374398     2      0.0001260009      1.00000000    1.00000000   0.41046334
374399     2      0.0001260009      1.00000000    1.00000000   0.41046334
374400     2      0.0001260009      1.00000000    1.00000000   0.41046334
