# Roi/ROB map file for the RPC system

maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   14   |   4 |    1   |  59
      0    |   14   |   5 |    1   |  59
      0    |   14   |   6 |    1   |  59
      0    |   14   |   7 |    2   |  59  75
      0    |   14   |   8 |    2   |  59  75
      0    |   14   |   9 |    2   |  59  75
      0    |   14   |  10 |    2   |  59  75
      0    |   14   |  11 |    1   |  75
      0    |   14   |  12 |    1   |  75
      0    |   14   |  13 |    1   |  75
      0    |   14   |  14 |    1   |  75
      0    |   14   |  15 |    2   |  75  91
      0    |   14   |  16 |    2   |  75  91
      0    |   14   |  17 |    2   |  75  91
      0    |   14   |  18 |    2   |  75  91
      0    |   14   |  21 |    1   |  91
      0    |   14   |  22 |    1   |  91
      0    |   14   |  23 |    1   |  91
      0    |   14   |  24 |    1   |  91

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   15   |   1 |    1   |  52
      0    |   15   |   2 |    1   |  52
      0    |   15   |   3 |    1   |  52
      0    |   15   |   4 |    1   |  52
      0    |   15   |   5 |    1   |  52
      0    |   15   |   6 |    1   |  52
      0    |   15   |   7 |    2   |  52  68
      0    |   15   |   8 |    2   |  52  68
      0    |   15   |   9 |    2   |  52  68
      0    |   15   |  10 |    2   |  52  68
      0    |   15   |  11 |    1   |  68
      0    |   15   |  12 |    1   |  68
      0    |   15   |  13 |    1   |  68
      0    |   15   |  14 |    1   |  68
      0    |   15   |  15 |    2   |  68  84
      0    |   15   |  16 |    2   |  68  84
      0    |   15   |  17 |    2   |  68  84
      0    |   15   |  18 |    2   |  68  84
      0    |   15   |  19 |    2   |  68  84
      0    |   15   |  20 |    2   |  68  84
      0    |   15   |  21 |    1   |  84
      0    |   15   |  22 |    1   |  84
      0    |   15   |  23 |    2   |  84 148
      0    |   15   |  24 |    2   |  84 148
      0    |   15   |  25 |    2   |  84 148
      0    |   15   |  26 |    2   |  84 148

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   16   |   1 |    1   |  52
      0    |   16   |   2 |    1   |  52
      0    |   16   |   3 |    1   |  52
      0    |   16   |   4 |    1   |  52
      0    |   16   |   5 |    1   |  52
      0    |   16   |   6 |    1   |  52
      0    |   16   |   7 |    2   |  52  68
      0    |   16   |   8 |    2   |  52  68
      0    |   16   |   9 |    2   |  52  68
      0    |   16   |  10 |    2   |  52  68
      0    |   16   |  11 |    1   |  68
      0    |   16   |  12 |    1   |  68
      0    |   16   |  13 |    1   |  68
      0    |   16   |  14 |    1   |  68
      0    |   16   |  15 |    2   |  68  84
      0    |   16   |  16 |    2   |  68  84
      0    |   16   |  17 |    2   |  68  84
      0    |   16   |  18 |    2   |  68  84
      0    |   16   |  19 |    2   |  68  84
      0    |   16   |  20 |    2   |  68  84
      0    |   16   |  21 |    1   |  84
      0    |   16   |  22 |    1   |  84
      0    |   16   |  23 |    2   |  84 148
      0    |   16   |  24 |    2   |  84 148
      0    |   16   |  25 |    2   |  84 148
      0    |   16   |  26 |    2   |  84 148

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   17   |   1 |    1   |  60
      0    |   17   |   2 |    1   |  60
      0    |   17   |   3 |    1   |  60
      0    |   17   |   4 |    1   |  60
      0    |   17   |   5 |    1   |  60
      0    |   17   |   6 |    1   |  60
      0    |   17   |   7 |    2   |  60  76
      0    |   17   |   8 |    2   |  60  76
      0    |   17   |   9 |    2   |  60  76
      0    |   17   |  10 |    2   |  60  76
      0    |   17   |  11 |    1   |  76
      0    |   17   |  12 |    1   |  76
      0    |   17   |  13 |    1   |  76
      0    |   17   |  14 |    1   |  76
      0    |   17   |  15 |    2   |  76  92
      0    |   17   |  16 |    2   |  76  92
      0    |   17   |  17 |    2   |  76  92
      0    |   17   |  18 |    2   |  76  92
      0    |   17   |  21 |    2   |  76  92
      0    |   17   |  22 |    2   |  76  92
      0    |   17   |  23 |    1   |  92
      0    |   17   |  24 |    1   |  92

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   18   |   1 |    1   |  60
      0    |   18   |   2 |    1   |  60
      0    |   18   |   3 |    1   |  60
      0    |   18   |   4 |    1   |  60
      0    |   18   |   5 |    1   |  60
      0    |   18   |   6 |    1   |  60
      0    |   18   |   7 |    2   |  60  76
      0    |   18   |   8 |    2   |  60  76
      0    |   18   |   9 |    2   |  60  76
      0    |   18   |  10 |    2   |  60  76
      0    |   18   |  11 |    1   |  76
      0    |   18   |  12 |    1   |  76
      0    |   18   |  13 |    1   |  76
      0    |   18   |  14 |    1   |  76
      0    |   18   |  15 |    2   |  76  92
      0    |   18   |  16 |    2   |  76  92
      0    |   18   |  17 |    2   |  76  92
      0    |   18   |  18 |    2   |  76  92
      0    |   18   |  21 |    2   |  76  92
      0    |   18   |  22 |    2   |  76  92
      0    |   18   |  23 |    1   |  92
      0    |   18   |  24 |    1   |  92

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   19   |   1 |    1   |  53
      0    |   19   |   2 |    1   |  53
      0    |   19   |   3 |    1   |  53
      0    |   19   |   4 |    1   |  53
      0    |   19   |   5 |    1   |  53
      0    |   19   |   6 |    1   |  53
      0    |   19   |   7 |    2   |  53  69
      0    |   19   |   8 |    2   |  53  69
      0    |   19   |   9 |    2   |  53  69
      0    |   19   |  10 |    2   |  53  69
      0    |   19   |  11 |    1   |  69
      0    |   19   |  12 |    1   |  69
      0    |   19   |  13 |    2   |  69  85
      0    |   19   |  14 |    2   |  69  85
      0    |   19   |  15 |    2   |  69  85
      0    |   19   |  16 |    2   |  69  85
      0    |   19   |  17 |    2   |  69  85
      0    |   19   |  18 |    2   |  69  85
      0    |   19   |  19 |    2   |  69  85
      0    |   19   |  20 |    2   |  69  85
      0    |   19   |  21 |    1   |  85
      0    |   19   |  22 |    1   |  85
      0    |   19   |  23 |    2   |  85 149
      0    |   19   |  24 |    2   |  85 149
      0    |   19   |  25 |    2   |  85 149
      0    |   19   |  26 |    2   |  85 149

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   20   |   1 |    1   |  53
      0    |   20   |   2 |    1   |  53
      0    |   20   |   3 |    1   |  53
      0    |   20   |   4 |    1   |  53
      0    |   20   |   5 |    1   |  53
      0    |   20   |   6 |    1   |  53
      0    |   20   |   7 |    2   |  53  69
      0    |   20   |   8 |    2   |  53  69
      0    |   20   |   9 |    2   |  53  69
      0    |   20   |  10 |    2   |  53  69
      0    |   20   |  11 |    1   |  69
      0    |   20   |  12 |    1   |  69
      0    |   20   |  13 |    2   |  69  85
      0    |   20   |  14 |    2   |  69  85
      0    |   20   |  15 |    2   |  69  85
      0    |   20   |  16 |    2   |  69  85
      0    |   20   |  17 |    2   |  69  85
      0    |   20   |  18 |    2   |  69  85
      0    |   20   |  19 |    2   |  69  85
      0    |   20   |  20 |    2   |  69  85
      0    |   20   |  21 |    1   |  85
      0    |   20   |  22 |    1   |  85
      0    |   20   |  23 |    2   |  85 149
      0    |   20   |  24 |    2   |  85 149
      0    |   20   |  25 |    2   |  85 149
      0    |   20   |  26 |    2   |  85 149

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   21   |   1 |    1   |  61
      0    |   21   |   2 |    1   |  61
      0    |   21   |   3 |    2   |  13  61
      0    |   21   |   4 |    2   |  13  61
      0    |   21   |   5 |    1   |  61
      0    |   21   |   6 |    1   |  61
      0    |   21   |   7 |    1   |  61
      0    |   21   |   8 |    1   |  61
      0    |   21   |   9 |    2   |  61  77
      0    |   21   |  10 |    2   |  61  77
      0    |   21   |  11 |    1   |  77
      0    |   21   |  12 |    1   |  77
      0    |   21   |  13 |    2   |  77  93
      0    |   21   |  14 |    2   |  77  93
      0    |   21   |  15 |    1   |  93
      0    |   21   |  16 |    1   |  93

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   22   |   1 |    1   |  61
      0    |   22   |   2 |    1   |  61
      0    |   22   |   3 |    2   |  13  61
      0    |   22   |   4 |    2   |  13  61
      0    |   22   |   5 |    1   |  61
      0    |   22   |   6 |    1   |  61
      0    |   22   |   7 |    1   |  61
      0    |   22   |   8 |    1   |  61
      0    |   22   |   9 |    2   |  61  77
      0    |   22   |  10 |    2   |  61  77
      0    |   22   |  11 |    1   |  77
      0    |   22   |  12 |    1   |  77
      0    |   22   |  13 |    2   |  77  93
      0    |   22   |  14 |    2   |  77  93
      0    |   22   |  15 |    1   |  93
      0    |   22   |  16 |    1   |  93

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   23   |   1 |    1   |  54
      0    |   23   |   2 |    1   |  54
      0    |   23   |   3 |    1   |  54
      0    |   23   |   4 |    1   |  54
      0    |   23   |   5 |    1   |  54
      0    |   23   |   6 |    1   |  54
      0    |   23   |   7 |    2   |  54  70
      0    |   23   |   8 |    2   |  54  70
      0    |   23   |   9 |    2   |  54  70
      0    |   23   |  10 |    2   |  54  70
      0    |   23   |  11 |    1   |  70
      0    |   23   |  12 |    1   |  70
      0    |   23   |  13 |    2   |  70  86
      0    |   23   |  14 |    2   |  70  86
      0    |   23   |  15 |    1   |  86
      0    |   23   |  16 |    1   |  86
      0    |   23   |  17 |    1   |  86
      0    |   23   |  18 |    1   |  86
      0    |   23   |  19 |    2   |  86 150
      0    |   23   |  20 |    2   |  86 150
      0    |   23   |  21 |    2   |  86 150
      0    |   23   |  22 |    2   |  86 150

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   24   |   1 |    1   |  54
      0    |   24   |   2 |    1   |  54
      0    |   24   |   3 |    1   |  54
      0    |   24   |   4 |    1   |  54
      0    |   24   |   5 |    1   |  54
      0    |   24   |   6 |    1   |  54
      0    |   24   |   7 |    2   |  54  70
      0    |   24   |   8 |    2   |  54  70
      0    |   24   |   9 |    2   |  54  70
      0    |   24   |  10 |    2   |  54  70
      0    |   24   |  11 |    1   |  70
      0    |   24   |  12 |    1   |  70
      0    |   24   |  13 |    2   |  70  86
      0    |   24   |  14 |    2   |  70  86
      0    |   24   |  15 |    1   |  86
      0    |   24   |  16 |    1   |  86
