# Roi/ROB map file for the RPC system

type: ATLAS
maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    6   |  21 |    1   | 620029
      0    |    6   |  22 |    1   | 620029
      0    |    6   |  23 |    1   | 620029

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    7   |   0 |    1   | 620002
      0    |    7   |   1 |    1   | 620002
      0    |    7   |   2 |    1   | 620002
      0    |    7   |   3 |    1   | 620002
      0    |    7   |   4 |    1   | 620002
      0    |    7   |   5 |    1   | 620002
      0    |    7   |   6 |    2   | 620002 620012
      0    |    7   |   7 |    2   | 620002 620012
      0    |    7   |   8 |    2   | 620002 620012
      0    |    7   |   9 |    2   | 620002 620012
      0    |    7   |  10 |    1   | 620012
      0    |    7   |  11 |    1   | 620012
      0    |    7   |  12 |    1   | 620012
      0    |    7   |  13 |    1   | 620012
      0    |    7   |  14 |    2   | 620012 620022
      0    |    7   |  15 |    2   | 620012 620022
      0    |    7   |  16 |    2   | 620012 620022
      0    |    7   |  17 |    2   | 620012 620022
      0    |    7   |  18 |    2   | 620012 620022
      0    |    7   |  19 |    2   | 620012 620022
      0    |    7   |  20 |    1   | 620022
      0    |    7   |  21 |    1   | 620022
      0    |    7   |  22 |    2   | 620022 640002
      0    |    7   |  23 |    2   | 620022 640002
      0    |    7   |  24 |    2   | 620022 640002
      0    |    7   |  25 |    2   | 620022 640002

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    8   |   0 |    1   | 620002
      0    |    8   |   1 |    1   | 620002
      0    |    8   |   2 |    1   | 620002
      0    |    8   |   3 |    1   | 620002
      0    |    8   |   4 |    1   | 620002
      0    |    8   |   5 |    1   | 620002
      0    |    8   |   6 |    2   | 620002 620012
      0    |    8   |   7 |    2   | 620002 620012
      0    |    8   |   8 |    2   | 620002 620012
      0    |    8   |   9 |    2   | 620002 620012
      0    |    8   |  10 |    1   | 620012
      0    |    8   |  11 |    1   | 620012
      0    |    8   |  12 |    1   | 620012
      0    |    8   |  13 |    1   | 620012
      0    |    8   |  14 |    2   | 620012 620022
      0    |    8   |  15 |    2   | 620012 620022
      0    |    8   |  16 |    2   | 620012 620022
      0    |    8   |  17 |    2   | 620012 620022
      0    |    8   |  18 |    2   | 620012 620022
      0    |    8   |  19 |    2   | 620012 620022
      0    |    8   |  20 |    1   | 620022
      0    |    8   |  21 |    1   | 620022
      0    |    8   |  22 |    2   | 620022 640002
      0    |    8   |  23 |    2   | 620022 640002
      0    |    8   |  24 |    2   | 620022 640002
      0    |    8   |  25 |    2   | 620022 640002

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    9   |   0 |    1   | 62000a
      0    |    9   |   1 |    1   | 62000a
      0    |    9   |   2 |    1   | 62000a
      0    |    9   |   3 |    1   | 62000a
      0    |    9   |   4 |    1   | 62000a
      0    |    9   |   5 |    1   | 62000a
      0    |    9   |   6 |    2   | 62000a 62001a
      0    |    9   |   7 |    2   | 62000a 62001a
      0    |    9   |   8 |    2   | 62000a 62001a
      0    |    9   |   9 |    2   | 62000a 62001a
      0    |    9   |  10 |    1   | 62001a
      0    |    9   |  11 |    1   | 62001a
      0    |    9   |  12 |    1   | 62001a
      0    |    9   |  13 |    1   | 62001a
      0    |    9   |  14 |    2   | 62001a 62002a
      0    |    9   |  15 |    2   | 62001a 62002a
      0    |    9   |  16 |    2   | 62001a 62002a
      0    |    9   |  17 |    2   | 62001a 62002a
      0    |    9   |  18 |    2   | 62002a 64000a
      0    |    9   |  19 |    2   | 62002a 64000a
      0    |    9   |  20 |    1   | 62002a
      0    |    9   |  21 |    1   | 62002a
      0    |    9   |  22 |    1   | 62002a
      0    |    9   |  23 |    1   | 62002a

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   10   |   0 |    1   | 62000a
      0    |   10   |   1 |    1   | 62000a
      0    |   10   |   2 |    1   | 62000a
      0    |   10   |   3 |    1   | 62000a
      0    |   10   |   4 |    1   | 62000a
      0    |   10   |   5 |    1   | 62000a
      0    |   10   |   6 |    2   | 62000a 62001a
      0    |   10   |   7 |    2   | 62000a 62001a
      0    |   10   |   8 |    2   | 62000a 62001a
      0    |   10   |   9 |    2   | 62000a 62001a
      0    |   10   |  10 |    1   | 62001a
      0    |   10   |  11 |    1   | 62001a
      0    |   10   |  12 |    1   | 62001a
      0    |   10   |  13 |    1   | 62001a
      0    |   10   |  14 |    2   | 62001a 62002a
      0    |   10   |  15 |    2   | 62001a 62002a
      0    |   10   |  16 |    2   | 62001a 62002a
      0    |   10   |  17 |    2   | 62001a 62002a
      0    |   10   |  18 |    2   | 62002a 64000a
      0    |   10   |  19 |    2   | 62002a 64000a
      0    |   10   |  20 |    1   | 62002a
      0    |   10   |  21 |    1   | 62002a
      0    |   10   |  22 |    1   | 62002a
      0    |   10   |  23 |    1   | 62002a

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   11   |   0 |    1   | 620003
      0    |   11   |   1 |    1   | 620003
      0    |   11   |   4 |    1   | 620003
      0    |   11   |   5 |    1   | 620003
      0    |   11   |   6 |    2   | 620003 620013
      0    |   11   |   7 |    2   | 620003 620013
      0    |   11   |   8 |    2   | 620003 620013
      0    |   11   |   9 |    2   | 620003 620013
      0    |   11   |  10 |    1   | 620013
      0    |   11   |  11 |    1   | 620013
      0    |   11   |  12 |    1   | 620013
      0    |   11   |  13 |    1   | 620013
      0    |   11   |  14 |    2   | 620013 620023
      0    |   11   |  15 |    2   | 620013 620023
      0    |   11   |  16 |    2   | 620013 620023
      0    |   11   |  17 |    2   | 620013 620023
      0    |   11   |  18 |    2   | 620013 620023
      0    |   11   |  19 |    2   | 620013 620023
      0    |   11   |  20 |    1   | 620023
      0    |   11   |  21 |    1   | 620023
      0    |   11   |  22 |    2   | 620023 640003
      0    |   11   |  23 |    2   | 620023 640003
      0    |   11   |  24 |    2   | 620023 640003
      0    |   11   |  25 |    2   | 620023 640003

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   12   |   0 |    1   | 620003
      0    |   12   |   1 |    1   | 620003
      0    |   12   |   4 |    1   | 620003
      0    |   12   |   5 |    1   | 620003
      0    |   12   |   6 |    2   | 620003 620013
      0    |   12   |   7 |    2   | 620003 620013
      0    |   12   |   8 |    2   | 620003 620013
      0    |   12   |   9 |    2   | 620003 620013
      0    |   12   |  10 |    1   | 620013
      0    |   12   |  11 |    1   | 620013
      0    |   12   |  12 |    1   | 620013
      0    |   12   |  13 |    1   | 620013
      0    |   12   |  14 |    2   | 620013 620023
      0    |   12   |  15 |    2   | 620013 620023
      0    |   12   |  16 |    2   | 620013 620023
      0    |   12   |  17 |    2   | 620013 620023
      0    |   12   |  18 |    2   | 620013 620023
      0    |   12   |  19 |    2   | 620013 620023
      0    |   12   |  20 |    1   | 620023
      0    |   12   |  21 |    1   | 620023
      0    |   12   |  22 |    2   | 620023 640003
      0    |   12   |  23 |    2   | 620023 640003
      0    |   12   |  24 |    2   | 620023 640003
      0    |   12   |  25 |    2   | 620023 640003

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   13   |   0 |    1   | 62000b
      0    |   13   |   1 |    1   | 62000b
      0    |   13   |   2 |    1   | 62000b
      0    |   13   |   3 |    1   | 62000b
      0    |   13   |   4 |    1   | 62000b
      0    |   13   |   5 |    1   | 62000b
      0    |   13   |   6 |    2   | 62000b 62001b
      0    |   13   |   7 |    2   | 62000b 62001b
      0    |   13   |   8 |    2   | 62000b 62001b
      0    |   13   |   9 |    2   | 62000b 62001b
      0    |   13   |  10 |    1   | 62001b
      0    |   13   |  11 |    1   | 62001b
      0    |   13   |  12 |    1   | 62001b
      0    |   13   |  13 |    1   | 62001b
      0    |   13   |  14 |    2   | 62001b 62002b
      0    |   13   |  15 |    2   | 62001b 62002b
      0    |   13   |  16 |    2   | 62001b 62002b
      0    |   13   |  17 |    2   | 62001b 62002b
      0    |   13   |  18 |    2   | 62002b 64000b
      0    |   13   |  19 |    2   | 62002b 64000b
      0    |   13   |  20 |    2   | 62001b 62002b
      0    |   13   |  21 |    2   | 62001b 62002b
      0    |   13   |  22 |    2   | 62002b 64000b
      0    |   13   |  23 |    2   | 62002b 64000b

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   14   |   0 |    1   | 62000b
      0    |   14   |   1 |    1   | 62000b
      0    |   14   |   2 |    1   | 62000b
      0    |   14   |   3 |    1   | 62000b
      0    |   14   |   4 |    1   | 62000b
      0    |   14   |   5 |    1   | 62000b
      0    |   14   |   6 |    2   | 62000b 62001b
      0    |   14   |   7 |    2   | 62000b 62001b
      0    |   14   |   8 |    2   | 62000b 62001b
      0    |   14   |   9 |    2   | 62000b 62001b
      0    |   14   |  10 |    1   | 62001b
      0    |   14   |  11 |    1   | 62001b
      0    |   14   |  12 |    1   | 62001b
      0    |   14   |  13 |    1   | 62001b
      0    |   14   |  14 |    2   | 62001b 62002b
      0    |   14   |  15 |    2   | 62001b 62002b
      0    |   14   |  16 |    2   | 62001b 62002b
      0    |   14   |  17 |    2   | 62001b 62002b
      0    |   14   |  18 |    2   | 62002b 64000b
      0    |   14   |  19 |    2   | 62002b 64000b
      0    |   14   |  20 |    2   | 62001b 62002b
      0    |   14   |  21 |    2   | 62001b 62002b
      0    |   14   |  22 |    1   | 62002b
      0    |   14   |  23 |    1   | 62002b

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   15   |   0 |    1   | 620004
      0    |   15   |   1 |    1   | 620004
      0    |   15   |   2 |    1   | 620004
      0    |   15   |   3 |    1   | 620004
      0    |   15   |   4 |    1   | 620004
      0    |   15   |   5 |    1   | 620004
      0    |   15   |   6 |    2   | 620004 620014
      0    |   15   |   7 |    2   | 620004 620014
      0    |   15   |   8 |    2   | 620004 620014
      0    |   15   |   9 |    2   | 620004 620014
      0    |   15   |  10 |    1   | 620014
      0    |   15   |  11 |    1   | 620014
      0    |   15   |  12 |    1   | 620014
      0    |   15   |  13 |    1   | 620014
      0    |   15   |  14 |    2   | 620014 620024
      0    |   15   |  15 |    2   | 620014 620024
      0    |   15   |  16 |    2   | 620014 620024
      0    |   15   |  17 |    2   | 620014 620024
      0    |   15   |  18 |    2   | 620014 620024
      0    |   15   |  19 |    2   | 620014 620024
      0    |   15   |  20 |    1   | 620024
      0    |   15   |  21 |    1   | 620024
      0    |   15   |  22 |    2   | 620024 640004
      0    |   15   |  23 |    2   | 620024 640004
      0    |   15   |  24 |    2   | 620024 640004
      0    |   15   |  25 |    2   | 620024 640004

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   16   |   0 |    1   | 620004
      0    |   16   |   1 |    1   | 620004
      0    |   16   |   2 |    1   | 620004
      0    |   16   |   3 |    1   | 620004
      0    |   16   |   4 |    1   | 620004
      0    |   16   |   5 |    1   | 620004
      0    |   16   |   6 |    2   | 620004 620014
      0    |   16   |   7 |    2   | 620004 620014
      0    |   16   |   8 |    2   | 620004 620014
      0    |   16   |   9 |    2   | 620004 620014
      0    |   16   |  10 |    1   | 620014
      0    |   16   |  11 |    1   | 620014
      0    |   16   |  12 |    1   | 620014
      0    |   16   |  13 |    1   | 620014
      0    |   16   |  14 |    2   | 620014 620024
      0    |   16   |  15 |    2   | 620014 620024
      0    |   16   |  16 |    2   | 620014 620024
      0    |   16   |  17 |    2   | 620014 620024
      0    |   16   |  18 |    2   | 620014 620024
      0    |   16   |  19 |    2   | 620014 620024
      0    |   16   |  20 |    1   | 620024
      0    |   16   |  21 |    1   | 620024
      0    |   16   |  22 |    2   | 620024 640004
      0    |   16   |  23 |    2   | 620024 640004
      0    |   16   |  24 |    2   | 620024 640004
      0    |   16   |  25 |    2   | 620024 640004

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   17   |   0 |    1   | 62000c
      0    |   17   |   1 |    1   | 62000c
      0    |   17   |   2 |    1   | 62000c
      0    |   17   |   3 |    1   | 62000c
      0    |   17   |   4 |    1   | 62000c
      0    |   17   |   5 |    1   | 62000c
      0    |   17   |   6 |    2   | 62000c 62001c
      0    |   17   |   7 |    2   | 62000c 62001c
      0    |   17   |   8 |    2   | 62000c 62001c
      0    |   17   |   9 |    2   | 62000c 62001c
      0    |   17   |  10 |    1   | 62001c
      0    |   17   |  11 |    1   | 62001c
      0    |   17   |  12 |    1   | 62001c
      0    |   17   |  13 |    1   | 62001c
      0    |   17   |  14 |    2   | 62001c 62002c
      0    |   17   |  15 |    2   | 62001c 62002c
      0    |   17   |  16 |    2   | 62001c 62002c
      0    |   17   |  17 |    2   | 62001c 62002c
      0    |   17   |  18 |    2   | 62002c 64000c
      0    |   17   |  19 |    2   | 62002c 64000c
