Calo      Layer     Region     Eta  DATA
    1        0        0       55  0.00235
    1        0        0       56  0.00372
    1        0        0       57  0.00372
    1        0        0       58  0.00372
    1        0        0       59  0.00372
    1        0        0       60  0.00371
    1        1        0        1  0.02484
    1        1        0        2  0.02484
    1        1        0        3  0.02484
    1        1        0        4  0.02484
    1        1        0        5  0.02484
    1        1        0        6  0.02484
    1        1        0        7  0.02484
    1        1        0        8  0.02484
    1        1        0        9  0.02484
    1        1        0       10  0.02484
    1        1        0       11  0.02484
    1        1        0       12  0.02484
    1        1        0       13  0.02484
    1        1        0       14  0.02484
    1        1        0       15  0.02484
    1        1        0       16  0.02484
    1        1        0       17  0.02484
    1        1        0       18  0.02484
    1        1        0       19  0.02484
    1        1        0       20  0.02484
    1        1        0       21  0.02484
    1        1        0       22  0.02484
    1        1        0       23  0.02484
    1        1        0       24  0.02484
    1        1        0       25  0.02484
    1        1        0       26  0.02484
    1        1        0       27  0.02484
    1        1        0       28  0.02484
    1        1        0       29  0.02484
    1        1        0       30  0.02484
    1        1        0       31  0.02484
    1        1        0       32  0.02495
    1        1        0       33  0.02495
    1        1        0       34  0.02495
    1        1        0       35  0.02495
    1        1        0       36  0.02495
    1        1        0       37  0.02495
    1        1        0       38  0.02495
    1        1        0       39  0.02495
    1        1        0       40  0.02495
    1        1        0       41  0.02495
    1        1        0       42  0.02495
    1        1        0       43  0.02495
    1        1        0       44  0.02495
    1        1        0       45  0.02495
    1        1        0       46  0.02495
    1        1        0       47  0.02495
    1        1        0       48  0.02495
    1        1        0       49  0.02495
    1        1        0       50  0.02495
    1        1        0       51  0.02495
    1        1        0       52  0.02495
    1        1        0       53  0.02495
    1        1        0       54  0.02495
    1        1        0       55  0.02495
    1        1        0       56  0.02495
    1        1        0       57  0.02495
    1        1        0       58  0.02495
    1        1        0       59  0.02495
    1        1        0       60  0.02495
    1        1        0       61  0.02495
    1        1        0       62  0.02495
    1        1        0       63  0.02495
    1        1        0       64  0.02495
    1        1        0       65  0.02495
    1        1        0       66  0.02495
    1        1        0       67  0.02495
    1        1        0       68  0.02495
    1        1        0       69  0.02495
    1        1        0       70  0.02495
    1        1        0       71  0.02495
    1        1        0       72  0.02495
    1        1        0       73  0.02495
    1        1        0       74  0.02495
    1        1        0       75  0.02495
    1        1        0       76  0.02495
    1        1        0       77  0.02495
    1        1        0       78  0.02495
    1        1        0       79  0.02495
    1        1        0       80  0.02495
    1        1        0       81  0.02495
    1        1        0       82  0.02495
    1        1        0       83  0.02495
    1        1        0       84  0.02495
    1        1        0       85  0.02495
    1        1        0       86  0.02495
    1        1        0       87  0.02495
    1        1        0       88  0.02495
    1        1        0       89  0.02495
    1        1        0       90  0.02495
    1        1        0       91  0.02495
    1        1        0       92  0.02495
    1        1        0       93  0.02495
    1        1        0       94  0.02495
    1        1        0       95  0.02495
    1        1        0       96  0.02495
    1        1        0       97  0.02495
    1        1        0       98  0.02495
    1        1        0       99  0.02495
    1        1        0      100  0.02495
    1        1        0      101  0.02495
    1        1        0      102  0.02495
    1        1        0      103  0.02495
    1        1        0      104  0.02495
    1        1        0      105  0.02495
    1        1        0      106  0.02495
    1        1        0      107  0.02495
    1        1        0      108  0.02495
    1        1        0      109  0.02495
    1        1        0      110  0.02495
    1        1        0      111  0.02495
    1        1        0      112  0.02495
    1        1        0      113  0.02495
    1        1        0      114  0.02495
    1        1        0      115  0.02495
    1        1        0      116  0.02495
    1        1        0      117  0.02495
    1        1        0      118  0.02495
    1        1        0      119  0.02495
    1        1        0      120  0.02495
    1        1        0      121  0.02495
    1        1        0      122  0.02495
    1        1        0      123  0.02495
    1        1        0      124  0.02495
    1        1        0      125  0.02495
    1        1        0      126  0.02495
    1        1        0      127  0.02495
    1        1        0      128  0.02495
    1        1        0      129  0.02495
    1        1        0      130  0.02495
    1        1        0      131  0.02495
    1        1        0      132  0.02495
    1        1        0      133  0.02495
    1        1        0      134  0.02495
    1        1        0      135  0.02495
    1        1        0      136  0.02495
    1        1        0      137  0.02495
    1        1        0      138  0.02495
    1        1        0      139  0.02495
    1        1        0      140  0.02495
    1        1        0      141  0.02495
    1        1        0      142  0.02495
    1        1        0      143  0.02495
    1        1        0      144  0.02495
    1        1        0      145  0.02495
    1        1        0      146  0.02495
    1        1        0      147  0.02495
    1        1        0      148  0.02495
    1        1        0      149  0.02495
    1        1        0      150  0.02495
    1        1        0      151  0.02495
    1        1        0      152  0.02495
    1        1        0      153  0.02495
    1        1        0      154  0.02495
    1        1        0      155  0.02495
    1        1        0      156  0.02495
    1        1        0      157  0.02495
    1        1        0      158  0.02495
    1        1        0      159  0.02495
    1        1        0      160  0.02495
    1        1        0      161  0.02495
    1        1        0      162  0.02495
    1        1        0      163  0.02495
    1        1        0      164  0.02495
    1        1        0      165  0.02495
    1        1        0      166  0.02495
    1        1        0      167  0.02495
    1        1        0      168  0.02495
    1        1        0      169  0.02495
    1        1        0      170  0.02495
    1        1        0      171  0.02495
    1        1        0      172  0.02495
    1        1        0      173  0.02495
    1        1        0      174  0.02495
    1        1        0      175  0.02495
    1        1        0      176  0.02495
    1        1        0      177  0.02495
    1        1        0      178  0.02495
    1        1        0      179  0.02495
    1        1        0      180  0.02495
    1        1        0      181  0.02495
    1        1        0      182  0.02495
    1        1        0      183  0.02495
    1        1        0      184  0.02495
    1        1        0      185  0.02495
    1        1        0      186  0.02495
    1        1        0      187  0.02495
    1        1        0      188  0.02495
    1        1        0      189  0.02495
    1        1        0      190  0.02495
    1        1        0      191  0.02495
    1        1        0      192  0.02495
    1        1        0      193  0.02495
    1        1        0      194  0.02495
    1        1        0      195  0.02495
    1        1        0      196  0.02495
    1        1        0      197  0.02495
    1        1        0      198  0.02495
    1        1        0      199  0.02495
    1        1        0      200  0.02495
    1        1        0      201  0.02495
    1        1        0      202  0.02495
    1        1        0      203  0.02495
    1        1        0      204  0.02495
    1        1        0      205  0.02495
    1        1        0      206  0.02495
    1        1        0      207  0.02495
    1        1        0      208  0.02495
    1        1        0      209  0.02495
    1        1        0      210  0.02495
    1        1        0      211  0.02495
    1        1        0      212  0.02495
    1        1        0      213  0.02495
    1        1        0      214  0.02495
    1        1        0      215  0.02495
    1        1        0      216  0.02495
    1        1        0      217  0.02495
    1        1        0      218  0.02495
    1        1        0      219  0.02495
    1        1        0      220  0.02495
    1        1        0      221  0.02495
    1        1        0      222  0.02495
    1        1        0      223  0.02495
    1        1        0      224  0.02495
    1        1        0      225  0.02495
    1        1        0      226  0.02495
    1        1        0      227  0.02495
    1        1        0      228  0.02495
    1        1        0      229  0.02495
    1        1        0      230  0.02495
    1        1        0      231  0.02495
    1        1        0      232  0.02495
    1        1        0      233  0.02495
    1        1        0      234  0.02495
    1        1        0      235  0.02495
    1        1        0      236  0.02495
    1        1        0      237  0.02495
    1        1        0      238  0.02495
    1        1        0      239  0.02495
