   icalo   isamp   ireg     ieta      ua/DAC   MeV/uA    Atten    uA/DAC     MeV/uA (last two with attenuation corrections)
       2       1       4       3    0.025525   407.76    1.0000  0.025525    407.76
       2       1       4       4    0.025525   406.36    1.0000  0.025525    406.36
       2       1       4       5    0.025525   404.98    1.0000  0.025525    404.98
       2       1       4       6    0.025525   403.60    1.0000  0.025525    403.60
       2       1       4       7    0.025525   402.23    1.0000  0.025525    402.23
       2       1       4       8    0.025525   400.88    1.0000  0.025525    400.88
       2       1       4       9    0.025525   399.53    1.0000  0.025525    399.53
       2       1       4      10    0.025525   398.19    1.0000  0.025525    398.19
       2       1       4      11    0.025525   396.86    1.0000  0.025525    396.86
       2       1       4      12    0.025525   395.53    1.0000  0.025525    395.53
       2       1       4      13    0.025525   394.22    1.0000  0.025525    394.22
       2       1       4      14    0.025525   392.92    1.0000  0.025525    392.92
       2       1       4      15    0.025525   391.62    1.0000  0.025525    391.62
       2       1       4      16    0.025525   407.94    1.0000  0.025525    407.94
       2       1       4      17    0.025525   406.49    1.0000  0.025525    406.49
       2       1       4      18    0.025525   405.05    1.0000  0.025525    405.05
       2       1       4      19    0.025525   403.62    1.0000  0.025525    403.62
       2       1       4      20    0.025525   402.20    1.0000  0.025525    402.20
       2       1       4      21    0.025525   400.79    1.0000  0.025525    400.79
       2       1       4      22    0.025525   399.39    1.0000  0.025525    399.39
       2       1       4      23    0.025525   398.00    1.0000  0.025525    398.00
       2       1       4      24    0.025525   396.62    1.0000  0.025525    396.62
       2       1       4      25    0.025525   395.25    1.0000  0.025525    395.25
       2       1       4      26    0.025525   393.89    1.0000  0.025525    393.89
       2       1       4      27    0.025525   392.53    1.0000  0.025525    392.53
       2       1       4      28    0.025525   391.19    1.0000  0.025525    391.19
       2       1       4      29    0.025525   389.86    1.0000  0.025525    389.86
       2       1       4      30    0.025525   388.53    1.0000  0.025525    388.53
       2       1       4      31    0.025525   387.22    1.0000  0.025525    387.22
       2       1       4      32    0.025525   385.91    1.0000  0.025525    385.91
       2       1       4      33    0.025525   384.61    1.0000  0.025525    384.61
       2       1       4      34    0.025525   383.32    1.0000  0.025525    383.32
       2       1       4      35    0.025525   382.04    1.0000  0.025525    382.04
       2       1       4      36    0.025525   380.77    1.0000  0.025525    380.77
       2       1       4      37    0.025525   379.50    1.0000  0.025525    379.50
       2       1       4      38    0.025525   378.25    1.0000  0.025525    378.25
       2       1       4      39    0.025525   377.00    1.0000  0.025525    377.00
       2       1       4      40    0.025525   375.76    1.0000  0.025525    375.76
       2       1       4      41    0.025525   374.53    1.0000  0.025525    374.53
       2       1       4      42    0.025525   373.31    1.0000  0.025525    373.31
       2       1       4      43    0.025525   372.09    1.0000  0.025525    372.09
       2       1       4      44    0.025525   370.89    1.0000  0.025525    370.89
       2       1       4      45    0.025525   369.69    1.0000  0.025525    369.69
       2       1       4      46    0.025525   368.49    1.0000  0.025525    368.49
       2       1       4      47    0.025525   367.31    1.0000  0.025525    367.31
       2       1       4      48    0.025525   391.26    1.0000  0.025525    391.26
       2       1       4      49    0.025525   389.87    1.0000  0.025525    389.87
       2       1       4      50    0.025525   388.49    1.0000  0.025525    388.49
       2       1       4      51    0.025525   387.12    1.0000  0.025525    387.12
