177010 2011-04-15:07:38:32 179710 612 -1 612 2011-04-15:07:45:39 179710 620 Y 1711 214 ON ON
234015 2011-04-15:11:42:35 179710 865 865 -1 2011-04-15:13:18:28 179721 19 Y 1711 214 ON ON
324000 2011-04-17:04:05:05 179804 330 330 -1 9999-12-31:23:00:00 0 0 Y 1718 322 ON ON
24004 2011-04-17:03:53:40 179804 318 -1 319 2011-04-17:04:02:15 179804 327 Y 1718 322 ON ON
124009 2011-04-17:06:50:17 179804 494 -1 494 2011-04-17:06:54:24 179804 498 Y 1718 322 ON ON
102001 2011-04-17:04:05:37 179804 330 -1 331 2011-04-17:04:15:57 179804 340 Y 1718 322 ON ON
102003 2011-04-17:04:05:09 179804 330 -1 330 2011-04-17:04:05:37 179804 330 Y 1718 322 ON ON
161014 2011-04-17:03:36:04 179804 298 -1 298 2011-04-17:03:38:04 179804 301 Y 1718 322 ON ON
61008 2011-04-16:19:05:40 179771 173 180 -1 2011-04-16:21:17:51 179798 1 Y 1716 322 ON ON
110013 2011-04-17:08:41:30 179804 606 -1 607 2011-04-17:08:55:18 179804 621 Y 1718 322 ON ON
110013 2011-04-17:10:22:28 179804 709 -1 710 2011-04-17:10:36:41 179804 724 Y 1718 322 ON ON
70006 2011-04-17:08:43:30 179804 608 621 -1 2011-04-17:13:29:41 0 0 Y 1718 322 ON ON
61008 2011-04-18:22:58:03 179938 59 63 -1 9999-12-31:23:00:00 0 0 Y 1721 322 ON ON
110013 2011-04-18:23:25:20 179938 90 -1 90 2011-04-18:23:39:34 179938 104 Y 1721 322 ON ON
110013 2011-04-19:00:18:45 179938 147 -1 147 2011-04-19:00:32:35 179938 162 Y 1721 322 ON ON
110013 2011-04-19:06:48:30 179939 325 -1 325 2011-04-19:07:02:49 179939 340 Y 1722 322 ON ON
320000 2011-04-19:10:38:58 179940 1 1 -1 2011-04-19:12:13:17 0 0 Y 1722 322 ON ON
110013 2011-04-19:08:42:54 179939 440 -1 441 2011-04-19:08:56:07 179939 453 Y 1722 322 ON ON
110013 2011-04-19:10:59:35 179940 17 -1 17 2011-04-19:11:13:14 0 0 Y 1722 322 ON ON
48001 2011-04-19:11:13:12 0 0 -1 -1 2011-04-19:11:15:56 0 0 N 1722 0 ON ON
24004 2011-04-21:04:02:20 180122 450 -1 450 2011-04-21:04:04:43 180122 453 Y 1727 322 ON ON
144006 2011-04-21:13:16:08 180124 184 -1 184 2011-04-21:13:19:04 180124 187 Y 1728 424 ON ON
147015 2011-04-22:04:48:25 180139 413 -1 -1 2011-04-22:04:52:15 180139 417 Y 1729 424 ON ON
147015 2011-04-22:04:52:59 180139 418 418 -1 9999-12-31:23:00:00 0 0 Y 1729 424 ON ON
124009 2011-04-21:12:12:27 180124 121 -1 121 2011-04-21:12:16:51 180124 125 Y 1728 424 ON ON
265010 2011-04-22:01:52:04 180139 240 251 -1 9999-12-31:23:00:00 0 0 Y 1729 424 ON ON
25007 2011-04-21:15:31:08 180124 320 -1 320 2011-04-21:15:34:32 180124 324 Y 1728 424 ON ON
315000 2011-04-21:18:10:59 180124 481 481 -1 2011-04-22:08:40:54 180143 7 Y 1728 424 ON ON
144006 2011-04-22:19:49:20 180149 115 -1 115 2011-04-22:19:52:22 180149 118 Y 1731 424 ON ON
144006 2011-04-22:21:32:38 180149 216 -1 217 2011-04-22:21:35:54 180149 220 Y 1731 424 ON ON
144006 2011-04-22:21:38:12 180149 222 222 -1 9999-12-31:23:00:00 0 0 Y 1731 424 ON ON
27014 2011-04-23:00:47:00 180153 132 -1 132 2011-04-23:00:48:17 180153 133 Y 1731 424 ON ON
77001 2011-04-23:03:45:58 180153 308 -1 -1 2011-04-23:03:46:06 180153 308 Y 1731 424 ON ON
153005 2011-04-22:20:20:53 180149 146 -1 147 2011-04-22:20:26:41 180149 152 Y 1731 424 ON ON
125012 2011-04-22:22:03:18 180149 247 -1 247 2011-04-22:22:04:01 180149 247 Y 1731 424 ON ON
74006 2011-04-22:23:22:39 180153 47 -1 47 2011-04-22:23:28:41 180153 52 Y 1731 424 ON ON
31005 2011-04-23:02:38:10 180153 241 -1 241 2011-04-23:02:46:20 180153 249 Y 1731 424 ON ON
31005 2011-04-23:06:44:18 180153 483 -1 484 2011-04-23:06:51:12 180153 490 Y 1731 424 ON ON
31006 2011-04-23:02:38:10 180153 241 -1 241 2011-04-23:02:46:42 180153 249 Y 1731 424 ON ON
31006 2011-04-23:06:44:18 180153 483 -1 484 2011-04-23:06:53:29 180153 492 Y 1731 424 ON ON
315000 2011-04-22:19:36:13 180149 102 102 -1 2011-04-23:08:44:20 180155 5 Y 1731 424 ON ON
287001 2011-04-24:06:18:57 180164 1126 1126 -1 2011-04-24:10:31:44 0 0 Y 1732 423 ON ON
320004 2011-04-24:06:24:56 180164 1134 1134 -1 2011-04-24:10:19:18 0 0 N 1732 423 ON ON
31005 2011-04-23:13:05:31 180164 103 -1 103 2011-04-23:13:12:29 180164 110 Y 1732 423 ON ON
31006 2011-04-23:13:05:31 180164 103 -1 103 2011-04-23:13:15:40 180164 114 Y 1732 423 ON ON
138012 2011-04-25:17:05:08 180241 132 -1 133 2011-04-25:17:07:17 180241 135 Y 1736 423 ON ON
21010 2011-04-25:16:27:19 180241 93 -1 93 2011-04-25:16:31:15 180241 97 Y 1736 423 ON ON
21010 2011-04-26:01:39:32 180242 184 -1 185 2011-04-26:01:45:05 180242 190 Y 1737 424 ON ON
15011 2011-04-26:03:09:30 180242 273 284 -1 9999-12-31:23:00:00 0 0 Y 1737 424 ON ON
228012 2011-04-25:09:49:51 180225 756 760 767 2011-04-25:10:14:36 180225 780 Y 1735 424 ON ON
230012 2011-04-25:09:49:55 180225 756 760 766 2011-04-25:10:14:11 180225 780 Y 1735 424 ON ON
144006 2011-04-27:00:50:39 180309 149 -1 149 2011-04-27:00:52:36 180309 151 Y 1739 423 ON ON
144006 2011-04-27:06:23:43 180309 477 -1 477 2011-04-27:06:25:48 180309 479 Y 1739 423 ON ON
15011 2011-04-27:03:35:25 180309 311 320 -1 9999-12-31:23:00:00 0 0 Y 1739 423 ON ON
132001 2011-04-27:23:42:29 180400 230 -1 231 2011-04-27:23:45:43 180400 234 Y 1743 598 ON ON
000003 2011-04-28:00:25:19 180400 273 -1 -1 2011-04-28:00:53:35 180400 301 Y 1743 598 ON ON
322000 2011-04-28:00:25:25 180400 273 274 -1 2011-04-28:09:46:07 0 0 Y 1743 598 ON ON
70001 2011-04-28:06:02:36 180400 607 -1 607 2011-04-28:06:10:06 180400 614 Y 1743 598 ON ON
2003 2011-04-28:00:25:19 180400 273 -1 274 2011-04-28:00:38:11 180400 286 Y 1743 598 ON ON
38007 2011-04-28:04:19:56 180400 506 -1 506 2011-04-28:04:22:33 180400 509 Y 1743 598 ON ON
132006 2011-04-29:03:21:47 180481 499 -1 499 2011-04-29:03:25:10 180481 502 Y 1745 598 ON ON
236014 2011-04-28:07:55:58 180400 718 736 -1 2011-04-28:08:13:23 180400 736 Y 1743 598 ON ON
236015 2011-04-28:07:55:58 180400 718 719 729 2011-04-28:08:14:23 180400 737 Y 1743 598 ON ON
238014 2011-04-28:07:55:58 180400 718 736 -1 2011-04-28:08:13:23 180400 736 Y 1743 598 ON ON
38007 2011-04-28:08:47:21 180400 769 -1 769 2011-04-28:08:49:42 180400 771 Y 1743 598 ON ON
30010 2011-04-29:05:55:50 180481 650 652 -1 9999-12-31:23:00:00 0 0 Y 1745 598 ON ON
