 'A2.02.07'   225   56   50   23.106   35.770
 'A2.02.07'   225   57   51   23.515   36.479
 'A2.02.07'   226   48   52   19.834   37.187
 'A2.02.07'   226   49   53   20.243   37.895
 'A2.02.07'   226   50   52   20.652   37.187
 'A2.02.07'   226   51   53   21.061   37.895
 'A2.02.07'   226   52   52   21.470   37.187
 'A2.02.07'   226   54   52   22.288   37.187
 'A2.02.30'   312   13   11    5.521    8.146
 'A2.02.30'   312   13    9    5.521    6.729
 'A2.02.30'   312   14   10    5.930    7.437
 'A2.02.30'   312   14    8    5.930    6.021
 'A2.02.30'   312   15   11    6.339    8.146
 'A2.02.30'   312   15    9    6.339    6.729
 'A2.02.31'   313   10   10    4.294    7.437
 'A2.02.31'   313   11   11    4.703    8.146
 'A2.02.31'   313   12   10    5.112    7.437
 'A2.02.31'   313    5   11    2.249    8.146
 'A2.02.31'   313    7   11    3.067    8.146
 'A2.02.31'   313    9   11    3.885    8.146
 'A2.03.00'   314    0   60    0.204   42.853
 'A2.03.00'   314   10   60    4.294   42.853
 'A2.03.00'   314    2   60    1.022   42.853
 'A2.03.00'   314    4   60    1.840   42.853
 'A2.03.00'   314    6   60    2.658   42.853
 'A2.03.00'   314    8   60    3.476   42.853
 'A2.03.00'   315   12   60    5.112   42.853
 'A2.03.00'   315   14   60    5.930   42.853
 'A2.03.00'   315    1   61    0.613   43.562
 'A2.03.00'   315   16   60    6.748   42.853
 'A2.03.00'   315   18   60    7.566   42.853
 'A2.03.00'   315    3   61    1.431   43.562
 'A2.03.00'   316    0   62    0.204   44.270
 'A2.03.00'   316   11   61    4.703   43.562
 'A2.03.00'   316   13   61    5.521   43.562
 'A2.03.00'   316    5   61    2.249   43.562
 'A2.03.00'   316    7   61    3.067   43.562
 'A2.03.00'   316    9   61    3.885   43.562
 'A2.03.00'   317   10   62    4.294   44.270
 'A2.03.00'   317   12   62    5.112   44.270
 'A2.03.00'   317    2   62    1.022   44.270
 'A2.03.00'   317    4   62    1.840   44.270
 'A2.03.00'   317    6   62    2.658   44.270
 'A2.03.00'   317    8   62    3.476   44.270
 'A2.03.01'   318   32   54   13.291   38.604
 'A2.03.01'   318   33   55   13.700   39.312
 'A2.03.01'   318   34   54   14.109   38.604
 'A2.03.01'   318   35   55   14.518   39.312
 'A2.03.01'   318   36   54   14.927   38.604
 'A2.03.01'   318   38   54   15.745   38.604
 'A2.03.01'   319   32   56   13.291   40.020
 'A2.03.01'   319   34   56   14.109   40.020
 'A2.03.01'   319   36   56   14.927   40.020
 'A2.03.01'   319   37   55   15.336   39.312
 'A2.03.01'   319   38   56   15.745   40.020
 'A2.03.01'   319   39   55   16.154   39.312
 'A2.03.01'   320   33   57   13.700   40.729
 'A2.03.01'   320   35   57   14.518   40.729
 'A2.03.01'   320   37   57   15.336   40.729
 'A2.03.01'   320   39   57   16.154   40.729
 'A2.03.01'   320   40   56   16.562   40.020
 'A2.03.01'   320   41   57   16.971   40.729
 'A2.03.01'   321   32   58   13.291   41.437
 'A2.03.01'   321   33   59   13.700   42.145
 'A2.03.01'   321   34   58   14.109   41.437
 'A2.03.01'   321   35   59   14.518   42.145
 'A2.03.01'   321   36   58   14.927   41.437
 'A2.03.01'   321   38   58   15.745   41.437
 'A2.04.00'   426  -10   60   -3.885   42.853
 'A2.04.00'   426  -12   60   -4.703   42.853
 'A2.04.00'   426   -2   60   -0.613   42.853
 'A2.04.00'   426   -4   60   -1.431   42.853
 'A2.04.00'   426   -6   60   -2.249   42.853
 'A2.04.00'   426   -8   60   -3.067   42.853
 'A2.04.00'   427  -14   60   -5.521   42.853
 'A2.04.00'   427   -1   61   -0.204   43.562
 'A2.04.00'   427  -16   60   -6.339   42.853
 'A2.04.00'   427  -18   60   -7.157   42.853
 'A2.04.00'   427  -20   60   -7.975   42.853
 'A2.04.00'   427   -3   61   -1.022   43.562
 'A2.04.00'   428  -11   61   -4.294   43.562
 'A2.04.00'   428  -13   61   -5.112   43.562
 'A2.04.00'   428  -15   61   -5.930   43.562
 'A2.04.00'   428   -5   61   -1.840   43.562
 'A2.04.00'   428   -7   61   -2.658   43.562
 'A2.04.00'   428   -9   61   -3.476   43.562
 'A2.04.00'   429  -10   62   -3.885   44.270
 'A2.04.00'   429  -12   62   -4.703   44.270
 'A2.04.00'   429   -2   62   -0.613   44.270
 'A2.04.00'   429   -4   62   -1.431   44.270
 'A2.04.00'   429   -6   62   -2.249   44.270
 'A2.04.00'   429   -8   62   -3.067   44.270
 'A2.04.01'   430  -34   54  -13.700   38.604
 'A2.04.01'   430  -36   54  -14.518   38.604
 'A2.04.01'   430  -37   55  -14.927   39.312
 'A2.04.01'   430  -38   54  -15.336   38.604
 'A2.04.01'   430  -39   55  -15.745   39.312
 'A2.04.01'   430  -40   54  -16.154   38.604
 'A2.04.01'   431  -33   55  -13.291   39.312
 'A2.04.01'   431  -34   56  -13.700   40.020
 'A2.04.01'   431  -35   55  -14.109   39.312
 'A2.04.01'   431  -36   56  -14.518   40.020
 'A2.04.01'   431  -38   56  -15.336   40.020
 'A2.04.01'   431  -40   56  -16.154   40.020
 'A2.04.01'   432  -33   57  -13.291   40.729
 'A2.04.01'   432  -35   57  -14.109   40.729
 'A2.04.01'   432  -37   57  -14.927   40.729
 'A2.04.01'   432  -39   57  -15.745   40.729
 'A2.04.01'   432  -41   57  -16.562   40.729
 'A2.04.01'   432  -43   57  -17.380   40.729
 'A2.04.01'   433  -33   59  -13.291   42.145
 'A2.04.01'   433  -34   58  -13.700   41.437
 'A2.04.01'   433  -35   59  -14.109   42.145
 'A2.04.01'   433  -36   58  -14.518   41.437
 'A2.04.01'   433  -38   58  -15.336   41.437
 'A2.04.01'   433  -40   58  -16.154   41.437
 'A2.05.00'   538  -49   55  -19.834   39.312
 'A2.05.00'   538  -50   54  -20.243   38.604
 'A2.05.00'   538  -51   55  -20.652   39.312
 'A2.05.00'   538  -52   54  -21.061   38.604
