Towers  0 - 15 eta 1 side A ID 61  # MDT barrel A-side (Sub-detector ID = 0x61)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 1"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   0A || BIS1C06 BIS2C06 BMS1C06 BMS2C06 BOS1C06 BOS2C06    -       -    |  6
   0B || BIS1C08 BIS2C08 BMS1C08 BMS2C08 BOS1C08 BOS2C08    -       -    |  6
   0C || BIS1C10 BIS2C10 BMS1C10 BMS2C10 BOS1C10 BOS2C10    -       -    |  7
   0D || BIS1C12 BIS2C12 BMF1C12 BOF1C12    -    BOG1C12    -       -    |  7
   0E || BIS1C14 BIS2C14 BMF1C14 BOF1C14    -    BOG1C14    -       -    |  8
   0F || BIS1C16 BIS2C16 BMS1C16 BMS2C16 BOS1C16 BOS2C16    -       -    |  8

}


Towers 16 - 31 eta 2 side C ID 62  # MDT barrel C-side (Sub-detector ID = 0x62)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------
#   "eta 2"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   10 || BIL3C01 BIL4C01 BML3C01 BML4C01 BOL3C01 BOL4C01    -       -    |  5
   11 || BIL3C03 BIL4C03 BML3C03 BML4C03 BOL3C03 BOL4C03    -       -    |  5
   12 || BIL3C05 BIL4C05 BML3C05 BML4C05 BOL3C05 BOL4C05    -       -    |  6
   13 || BIL3C07 BIL4C07 BML3C07 BML4C07 BOL3C07 BOL4C07    -       -    |  6
   14 || BIL3C09 BIL4C09 BML3C09 BML4C09 BOL3C09 BOL4C09    -       -    |  7
   15 || BIR3C11 BIR4C11 BML3C11 BML4C11 BOL3C11 BOL4C11    -       -    |  7
   16 || BIL3C13 BIL4C13 BML3C13    -    BOL3C13 BOL4C13    -       -    |  8
   17 || BIR3C15 BIR4C15 BML3C15 BML4C15 BOL3C15 BOL4C15    -       -    |  8

#   "eta 2"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   18 || BIS3C02 BIS4C02 BMS3C02 BMS4C02 BOS3C02 BOS4C02    -       -    |  5
   19 || BIS3C04 BIS4C04 BMS3C04 BMS4C04 BOS3C04 BOS4C04    -       -    |  5
   1A || BIS3C06 BIS4C06 BMS3C06 BMS4C06 BOS3C06 BOS4C06    -       -    |  6
   1B || BIS3C08 BIS4C08 BMS3C08 BMS4C08 BOS3C08 BOS4C08    -       -    |  6
   1C || BIS3C10 BIS4C10 BMS3C10 BMS4C10 BOS3C10 BOS4C10    -       -    |  7
   1D || BIS3C12 BIS4C12 BMF2C12 BOF2C12 BOF3C12 BOG2C12    -       -    |  7
   1E || BIS3C14 BIS4C14 BMF2C14 BOF2C14 BOF3C14 BOG2C14    -       -    |  8
   1F || BIS3C16 BIS4C16 BMS3C16 BMS4C16 BOS3C16 BOS4C16    -       -    |  8

}


Towers 32 - 47 eta 3 side C ID 62  # MDT barrel C-side (Sub-detector ID = 0x62)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------
#   "eta 3"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   20 || BIL5C01 BIL6C01 BML5C01 BML6C01 BOL5C01 BOL6C01    -       -    |  5
   21 || BIL5C03 BIL6C03 BML5C03 BML6C03 BOL5C03 BOL6C03    -       -    |  5
   22 || BIL5C05 BIL6C05 BML5C05 BML6C05 BOL5C05 BOL6C05    -       -    |  6
   23 || BIL5C07 BIL6C07 BML5C07 BML6C07 BOL5C07 BOL6C07    -       -    |  6
   24 || BIL5C09 BIL6C09 BML5C09 BML6C09 BOL5C09 BOL6C09    -       -    |  7
   25 || BIR5C11 BIR6C11 BML5C11 BML6C11 BOL5C11 BOL6C11    -       -    |  7
   26 || BIL5C13 BIL6C13 BML4C13 BML5C13 BOL5C13 BOL6C13    -       -    |  8
   27 || BIR5C15 BIR6C15 BML5C15 BML6C15 BOL5C15 BOL6C15    -       -    |  8

#   "eta 3"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   28 || BIS5C02 BIS6C02 BMS5C02 BMS6C02 BOS5C02 BOS6C02    -       -    |  5
   29 || BIS5C04 BIS6C04 BMS5C04 BMS6C04 BOS5C04 BOS6C04    -       -    |  5
   2A || BIS5C06 BIS6C06 BMS5C06 BMS6C06 BOS5C06 BOS6C06    -       -    |  6
   2B || BIS5C08 BIS6C08 BMS5C08 BMS6C08 BOS5C08 BOS6C08    -       -    |  6
   2C || BIS5C10 BIS6C10 BMS5C10 BMS6C10 BOS5C10 BOS6C10    -       -    |  7
   2D || BIS5C12 BIS6C12 BMF3C12 BOF4C12 BOG3C12 BOG4C12    -       -    |  7
   2E || BIS5C14 BIS6C14 BMF3C14 BOF4C14 BOG3C14 BOG4C14    -       -    |  8
   2F || BIS5C16 BIS6C16 BMS5C16 BMS6C16 BOS5C16 BOS6C16    -       -    |  8


#   extra towers   
   30 || BIM1C11 BIM2C11 BIM3C11 BIM4C11 BIM5C11    -       -       -    |  7
   31 || BIM1C15 BIM2C15 BIM3C15 BIM4C15 BIM5C15    -       -       -    |  8

}



Towers  0 - 15 eta 4 side A ID 63  # MDT EndCap A-side (Sub-detector ID = 0x63)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 4"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   00 || EILM4A01 EEL1A01 EEL2A01 EML4A01 EML5A01    -       -       -    |  9
   01 || EIL4A03  EEL1A03 EEL2A03 EML4A03 EML5A03    -       -       -    |  9
   02 || EIL4A05     -    EEL2A05 EML4A05 EML5A05    -       -       -    |  10
   03 || EIL4A07  EEL1A07 EEL2A07 EML4A07 EML5A07    -       -       -    |  10
   04 || EILM4A09 EEL1A09 EEL2A09 EML4A09 EML5A09    -       -       -    |  11
   05 || EIL4A11  EEL1A11 EEL2A11 EML4A11 EML5A11    -       -       -    |  11
