#id/I:name/C:xsec/F:kfac/F:eff/F:relunc/F
# cross-sections are in pb

# DSID	Physics short								xsec	k-fac	eff		rel. unc.

##########################################################################################################################
# ttbar

364139          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_BFilter        8.6797                0.9751          1.7626E-01         0.0                           
364140          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV500_1000               1.8071                0.9751          1.0000E+00         0.0                           
364141          Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV1000_E_CMS             0.14823               0.9751          1.0000E+00         0.0                           
364142          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV0_70_CVetoBVeto          10704.0               0.9728          8.2106E-01         0.0                           
364143          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV0_70_CFilterBVeto        10705.0               0.9728          1.1195E-01         0.0                           
364144          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV0_70_BFilter             10705.0               0.9728          6.7388E-02         0.0                           
364145          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV70_140_CVetoBVeto        607.85                0.9728          6.9117E-01         0.0                           
364146          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV70_140_CFilterBVeto      607.13                0.9728          1.9026E-01         0.0                           
364147          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV70_140_BFilter           608.33                0.9728          0.119550           0.0                           
364148          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV140_280_CVetoBVeto       222.23                0.9728          6.1628E-01         0.0                           
364149          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV140_280_CFilterBVeto     222.27                0.9728          2.3277E-01         0.0                           
364150          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV140_280_BFilter          222.38                0.9728          1.5813E-01         0.0                           
364151          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV280_500_CVetoBVeto       47.432                0.9728          5.6139E-01         0.0                           
364152          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV280_500_CFilterBVeto     47.339                0.9728          2.6519E-01         0.0                           
364153          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV280_500_BFilter          47.416                0.9728          1.8044E-01         0.0                           
364154          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV500_1000                 9.9061                0.9728          1.0000E+00         0.0                           
364155          Sherpa_221_NNPDF30NNLO_Znunu_MAXHTPTV1000_E_CMS               0.81804               0.9728          1.0000E+00         0.0                           
364216          Sherpa_221_NNPDF30NNLO_Zmumu_PTV500_1000                      0.059241              1.0             1.0000E+00         0.0                           
364217          Sherpa_221_NNPDF30NNLO_Zmumu_PTV1000_E_CMS                    0.0011855             1.0             1.0000E+00         0.0                           
364218          Sherpa_221_NNPDF30NNLO_Zee_PTV500_1000                        0.059179              1.0             1.0000E+00         0.0                           
364219          Sherpa_221_NNPDF30NNLO_Zee_PTV1000_E_CMS                      0.001188              1.0             1.0000E+00         0.0                           
364220          Sherpa_221_NNPDF30NNLO_Ztautau_PTV500_1000                    0.058868              1.0             1.0000E+00         0.0                           
364221          Sherpa_221_NNPDF30NNLO_Ztautau_PTV1000_E_CMS                  0.001186              1.0             1.0000E+00         0.0                           
364222          Sherpa_221_NNPDF30NNLO_Znunu_PTV500_1000                      0.30438               1.0             1.0000E+00         0.0                           
364223          Sherpa_221_NNPDF30NNLO_Znunu_PTV1000_E_CMS                    0.005852              1.0             1.0000E+00         0.0                           

##########################################################################################################################
# madgraph+pythia8 Z+jets

361515          MadGraphPythia8EvtGen_A14NNPDF23LO_Znunu_Np0                  7520.9                1.2283          1.0000E+00         0.0                           
