# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
PP2_S21_Board5	LV-PP2	RegBoard-5	R2_OPS3	LV-PP1	UP
PP2_S21_Board6	LV-PP2	RegBoard-6	R1_OPS4	LV-PP1	UP
PP2_S21_Board7	LV-PP2	RegBoard-7	R2_OPS4	LV-PP1	UP
PP2_S21_Board8	LV-PP2	RegBoard-8	R1_OPS5	LV-PP1	UP
PP2_S21_Board9	LV-PP2	RegBoard-9	R2_OPS5	LV-PP1	UP
PP2_S21_BoardA	LV-PP2	RegBoard-A	R1_OPS6	LV-PP1	UP
PP2_S21_BoardB	LV-PP2	RegBoard-B	R2_OPS6	LV-PP1	UP
PP2_S22_Board0	LV-PP2	RegBoard-0	L1_OPS5	LV-PP1	UP
PP2_S22_Board1	LV-PP2	RegBoard-1	L2_OPS5	LV-PP1	UP
PP2_S22_Board2	LV-PP2	RegBoard-2	L1_OPS6	LV-PP1	UP
PP2_S22_Board3	LV-PP2	RegBoard-3	L2_OPS6	LV-PP1	UP
					
					
R1_OPS1	LV-PP1	SLOT-0	D1A_B05_S1	PP0	LV-PP0-B0
R1_OPS2	LV-PP1	SLOT-2	D1A_B05_S2	PP0	LV-PP0-B2
R1_OPS3	LV-PP1	SLOT-4	L0_B12_S1_A6	PP0	LV-PP0-B4
R2_OPS3	LV-PP1	SLOT-5	L0_B12_S1_C7	PP0	LV-PP0-B5
R1_OPS4	LV-PP1	SLOT-6	L0_B12_S2_A7	PP0	LV-PP0-B6
R2_OPS4	LV-PP1	SLOT-7	L0_B12_S2_C6	PP0	LV-PP0-B7
R1_OPS5	LV-PP1	SLOT-8	L2_B27_S1_A6	PP0	LV-PP0-B8
R2_OPS5	LV-PP1	SLOT-9	L2_B27_S1_C7	PP0	LV-PP0-B9
R1_OPS6	LV-PP1	SLOT-10	L2_B27_S2_A7	PP0	LV-PP0-B10
R2_OPS6	LV-PP1	SLOT-11	L2_B27_S2_C6	PP0	LV-PP0-B11
L1_OPS5	LV-PP1	SLOT-12	L2_B99_S1_A6	PP0	LV-PP0-B12
L2_OPS5	LV-PP1	SLOT-13	L2_B99_S1_C7	PP0	LV-PP0-B13
L1_OPS6	LV-PP1	SLOT-14	L2_B99_S2_A7	PP0	LV-PP0-B14
L2_OPS6	LV-PP1	SLOT-15	L2_B99_S2_C6	PP0	LV-PP0-B15
					
					
