# $Id: connectivity_table_C6_OSP_v4.dat,v 1.1 2007-05-10 19:13:26 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
L2_B18_S1_C7	PP0	M6	L2_B18_S1_C7_M5C	MODULE	UP
L2_B18_S1_C7	PP0	M7	L2_B18_S1_C7_M6C	MODULE	UP
L2_B18_S2_C6	PP0	M6	L2_B18_S2_C6_M1C	MODULE	UP
L2_B18_S2_C6	PP0	M5	L2_B18_S2_C6_M2C	MODULE	UP
L2_B18_S2_C6	PP0	M4	L2_B18_S2_C6_M3C	MODULE	UP
L2_B18_S2_C6	PP0	M3	L2_B18_S2_C6_M4C	MODULE	UP
L2_B18_S2_C6	PP0	M2	L2_B18_S2_C6_M5C	MODULE	UP
L2_B18_S2_C6	PP0	M1	L2_B18_S2_C6_M6C	MODULE	UP
D3C_B04_S1	PP0	M3	D3C_B04_S1_M1	MODULE	UP
D3C_B04_S1	PP0	M7	D3C_B04_S1_M2	MODULE	UP
D3C_B04_S1	PP0	M5	D3C_B04_S1_M3	MODULE	UP
D3C_B04_S1	PP0	M2	D3C_B04_S1_M4	MODULE	UP
D3C_B04_S1	PP0	M6	D3C_B04_S1_M5	MODULE	UP
D3C_B04_S1	PP0	M4	D3C_B04_S1_M6	MODULE	UP
L0_B07_S2_C6	PP0	M6	L0_B07_S2_C6_M1C	MODULE	UP
L0_B07_S2_C6	PP0	M5	L0_B07_S2_C6_M2C	MODULE	UP
L0_B07_S2_C6	PP0	M4	L0_B07_S2_C6_M3C	MODULE	UP
L0_B07_S2_C6	PP0	M3	L0_B07_S2_C6_M4C	MODULE	UP
L0_B07_S2_C6	PP0	M2	L0_B07_S2_C6_M5C	MODULE	UP
L0_B07_S2_C6	PP0	M1	L0_B07_S2_C6_M6C	MODULE	UP
L0_B08_S1_C7	PP0	M1	L0_B08_S1_C7_M0	MODULE	UP
L0_B08_S1_C7	PP0	M2	L0_B08_S1_C7_M1C	MODULE	UP
L0_B08_S1_C7	PP0	M3	L0_B08_S1_C7_M2C	MODULE	UP
L0_B08_S1_C7	PP0	M4	L0_B08_S1_C7_M3C	MODULE	UP
L0_B08_S1_C7	PP0	M5	L0_B08_S1_C7_M4C	MODULE	UP
L0_B08_S1_C7	PP0	M6	L0_B08_S1_C7_M5C	MODULE	UP
L0_B08_S1_C7	PP0	M7	L0_B08_S1_C7_M6C	MODULE	UP
L0_B08_S2_C6	PP0	M6	L0_B08_S2_C6_M1C	MODULE	UP
L0_B08_S2_C6	PP0	M5	L0_B08_S2_C6_M2C	MODULE	UP
L0_B08_S2_C6	PP0	M4	L0_B08_S2_C6_M3C	MODULE	UP
L0_B08_S2_C6	PP0	M3	L0_B08_S2_C6_M4C	MODULE	UP
L0_B08_S2_C6	PP0	M2	L0_B08_S2_C6_M5C	MODULE	UP
L0_B08_S2_C6	PP0	M1	L0_B08_S2_C6_M6C	MODULE	UP
L2_B19_S1_C7	PP0	M1	L2_B19_S1_C7_M0	MODULE	UP
L2_B19_S1_C7	PP0	M2	L2_B19_S1_C7_M1C	MODULE	UP
L2_B19_S1_C7	PP0	M3	L2_B19_S1_C7_M2C	MODULE	UP
L2_B19_S1_C7	PP0	M4	L2_B19_S1_C7_M3C	MODULE	UP
L2_B19_S1_C7	PP0	M5	L2_B19_S1_C7_M4C	MODULE	UP
L2_B19_S1_C7	PP0	M6	L2_B19_S1_C7_M5C	MODULE	UP
L2_B19_S1_C7	PP0	M7	L2_B19_S1_C7_M6C	MODULE	UP
L2_B19_S2_C6	PP0	M6	L2_B19_S2_C6_M1C	MODULE	UP
L2_B19_S2_C6	PP0	M5	L2_B19_S2_C6_M2C	MODULE	UP
L2_B19_S2_C6	PP0	M4	L2_B19_S2_C6_M3C	MODULE	UP
L2_B19_S2_C6	PP0	M3	L2_B19_S2_C6_M4C	MODULE	UP
L2_B19_S2_C6	PP0	M2	L2_B19_S2_C6_M5C	MODULE	UP
L2_B19_S2_C6	PP0	M1	L2_B19_S2_C6_M6C	MODULE	UP
L2_B20_S1_C7	PP0	M1	L2_B20_S1_C7_M0	MODULE	UP
L2_B20_S1_C7	PP0	M2	L2_B20_S1_C7_M1C	MODULE	UP
L2_B20_S1_C7	PP0	M3	L2_B20_S1_C7_M2C	MODULE	UP
L2_B20_S1_C7	PP0	M4	L2_B20_S1_C7_M3C	MODULE	UP
L2_B20_S1_C7	PP0	M5	L2_B20_S1_C7_M4C	MODULE	UP
L2_B20_S1_C7	PP0	M6	L2_B20_S1_C7_M5C	MODULE	UP
L2_B20_S1_C7	PP0	M7	L2_B20_S1_C7_M6C	MODULE	UP
D1C_B04_S1	PP0	M5	D1C_B04_S1_M1	MODULE	UP
D1C_B04_S1	PP0	M1	D1C_B04_S1_M2	MODULE	UP
D1C_B04_S1	PP0	M3	D1C_B04_S1_M3	MODULE	UP
