# $Id: aliases_toothpix_v1.dat,v 1.1 2007-08-31 15:21:25 lmasetti Exp $		
# ALIAS	     CONVENTION	ID
M510299	PRODID	L2_B27_S2_A7_M0
M511537	PRODID	L2_B27_S2_A7_M1A
M511178	PRODID	L2_B27_S2_A7_M2A
M511464	PRODID	L2_B27_S2_A7_M3A
M510586	PRODID	L2_B27_S2_A7_M4A
M511502	PRODID	L2_B27_S2_A7_M5A
M510415	PRODID	L2_B27_S2_A7_M6A
M510618	PRODID	L2_B27_S2_C6_M1C
M511487	PRODID	L2_B27_S2_C6_M2C
M510551	PRODID	L2_B27_S2_C6_M3C
M511423	PRODID	L2_B27_S2_C6_M4C
M510236	PRODID	L2_B27_S2_C6_M5C
M510275	PRODID	L2_B27_S2_C6_M6C
#		
#		
20210020510282	HWID	D1A_B05_S1_M1
20210020510349	HWID	D1A_B05_S1_M2
20210020510418	HWID	D1A_B05_S1_M3
20210020510776	HWID	D1A_B05_S1_M4
20210020510849	HWID	D1A_B05_S1_M5
20210020511885	HWID	D1A_B05_S1_M6
20210020512697	HWID	D1A_B05_S2_M1
20210020512862	HWID	D1A_B05_S2_M2
20210020511876	HWID	D1A_B05_S2_M3
20210020511251	HWID	D1A_B05_S2_M4
20210020512972	HWID	D1A_B05_S2_M5
20210020511865	HWID	D1A_B05_S2_M6
20210020511044	HWID	L0_B12_S1_C7_M0
20210020513144	HWID	L0_B12_S1_C7_M1C
20210020513098	HWID	L0_B12_S1_C7_M2C
20210020513040	HWID	L0_B12_S1_C7_M3C
20210020512960	HWID	L0_B12_S1_C7_M4C
20210020512924	HWID	L0_B12_S1_C7_M5C
20210020512642	HWID	L0_B12_S1_C7_M6C
20210020512894	HWID	L0_B12_S1_A6_M1A
20210020513173	HWID	L0_B12_S1_A6_M2A
20210020511021	HWID	L0_B12_S1_A6_M3A
20210020511709	HWID	L0_B12_S1_A6_M4A
20210020512189	HWID	L0_B12_S1_A6_M5A
20210020512844	HWID	L0_B12_S1_A6_M6A
20210020512906	HWID	L0_B12_S2_A7_M0
20210020510194	HWID	L0_B12_S2_A7_M1A
20210020511395	HWID	L0_B12_S2_A7_M2A
20210020512936	HWID	L0_B12_S2_A7_M3A
20210020510571	HWID	L0_B12_S2_A7_M4A
20210020512555	HWID	L0_B12_S2_A7_M5A
20210020510039	HWID	L0_B12_S2_A7_M6A
20210020510638	HWID	L0_B12_S2_C6_M1C
20210020511223	HWID	L0_B12_S2_C6_M2C
20210020510067	HWID	L0_B12_S2_C6_M3C
20210020510527	HWID	L0_B12_S2_C6_M4C
20210020510393	HWID	L0_B12_S2_C6_M5C
20210020512576	HWID	L0_B12_S2_C6_M6C
20210020510643	HWID	L2_B99_S2_A7_M0
20210020511687	HWID	L2_B99_S2_A7_M1A
20210020511088	HWID	L2_B99_S2_A7_M2A
20210020511590	HWID	L2_B99_S2_A7_M3A
20210020511192	HWID	L2_B99_S2_A7_M4A
20210020511567	HWID	L2_B99_S2_A7_M5A
20210020511384	HWID	L2_B99_S2_A7_M6A
20210020511248	HWID	L2_B99_S2_C6_M1C
20210020511238	HWID	L2_B99_S2_C6_M2C
20210020511535	HWID	L2_B99_S2_C6_M3C
20210020511437	HWID	L2_B99_S2_C6_M4C
20210020511200	HWID	L2_B99_S2_C6_M5C
20210020511308	HWID	L2_B99_S2_C6_M6C
20210020510959	HWID	L2_B99_S1_C7_M0
20210020510711	HWID	L2_B99_S1_C7_M1C
20210020510806	HWID	L2_B99_S1_C7_M2C
20210020510884	HWID	L2_B99_S1_C7_M3C
20210020510839	HWID	L2_B99_S1_C7_M4C
20210020510688	HWID	L2_B99_S1_C7_M5C
20210020510359	HWID	L2_B99_S1_C7_M6C
20210020510929	HWID	L2_B99_S1_A6_M1A
20210020510768	HWID	L2_B99_S1_A6_M2A
20210020510992	HWID	L2_B99_S1_A6_M3A
20210020510381	HWID	L2_B99_S1_A6_M4A
20210020510374	HWID	L2_B99_S1_A6_M5A
20210020510301	HWID	L2_B99_S1_A6_M6A
20210020511184	HWID	L2_B27_S1_C7_M0
20210020512808	HWID	L2_B27_S1_C7_M1C
20210020512724	HWID	L2_B27_S1_C7_M2C
20210020511846	HWID	L2_B27_S1_C7_M3C
20210020510600	HWID	L2_B27_S1_C7_M4C
20210020510266	HWID	L2_B27_S1_C7_M5C
20210020512820	HWID	L2_B27_S1_C7_M6C
20210020512229	HWID	L2_B27_S1_A6_M1A
20210020511754	HWID	L2_B27_S1_A6_M2A
20210020512460	HWID	L2_B27_S1_A6_M3A
20210020512722	HWID	L2_B27_S1_A6_M4A
20210020513023	HWID	L2_B27_S1_A6_M5A
20210020511249	HWID	L2_B27_S1_A6_M6A
20210020510299	HWID	L2_B27_S2_A7_M0
20210020511537	HWID	L2_B27_S2_A7_M1A
20210020511178	HWID	L2_B27_S2_A7_M2A
20210020511464	HWID	L2_B27_S2_A7_M3A
20210020510586	HWID	L2_B27_S2_A7_M4A
20210020511502	HWID	L2_B27_S2_A7_M5A
20210020510415	HWID	L2_B27_S2_A7_M6A
20210020510618	HWID	L2_B27_S2_C6_M1C
20210020511487	HWID	L2_B27_S2_C6_M2C
20210020510551	HWID	L2_B27_S2_C6_M3C
20210020511423	HWID	L2_B27_S2_C6_M4C
20210020510236	HWID	L2_B27_S2_C6_M5C
20210020510275	HWID	L2_B27_S2_C6_M6C
#		
#		
67944448	HASHID	D1A_B05_S1_M1
68206592	HASHID	D1A_B05_S1_M2
68468736	HASHID	D1A_B05_S1_M3
68599808	HASHID	D1A_B05_S1_M4
68337664	HASHID	D1A_B05_S1_M5
68075520	HASHID	D1A_B05_S1_M6
68730880	HASHID	D1A_B05_S2_M1
68993024	HASHID	D1A_B05_S2_M2
69255168	HASHID	D1A_B05_S2_M3
69386240	HASHID	D1A_B05_S2_M4
69124096	HASHID	D1A_B05_S2_M5
68861952	HASHID	D1A_B05_S2_M6
36364288	HASHID	L0_B12_S1_A6_M1A
36372480	HASHID	L0_B12_S1_A6_M2A
36380672	HASHID	L0_B12_S1_A6_M3A
36388864	HASHID	L0_B12_S1_A6_M4A
36397056	HASHID	L0_B12_S1_A6_M5A
36405248	HASHID	L0_B12_S1_A6_M6A
36356096	HASHID	L0_B12_S1_C7_M0
36347904	HASHID	L0_B12_S1_C7_M1C
36339712	HASHID	L0_B12_S1_C7_M2C
36331520	HASHID	L0_B12_S1_C7_M3C
36323328	HASHID	L0_B12_S1_C7_M4C
36315136	HASHID	L0_B12_S1_C7_M5C
36306944	HASHID	L0_B12_S1_C7_M6C
33603584	HASHID	L0_B12_S2_A7_M0
33611776	HASHID	L0_B12_S2_A7_M1A
33619968	HASHID	L0_B12_S2_A7_M2A
33628160	HASHID	L0_B12_S2_A7_M3A
33636352	HASHID	L0_B12_S2_A7_M4A
33644544	HASHID	L0_B12_S2_A7_M5A
33652736	HASHID	L0_B12_S2_A7_M6A
33595392	HASHID	L0_B12_S2_C6_M1C
33587200	HASHID	L0_B12_S2_C6_M2C
33579008	HASHID	L0_B12_S2_C6_M3C
33570816	HASHID	L0_B12_S2_C6_M4C
33562624	HASHID	L0_B12_S2_C6_M5C
33554432	HASHID	L0_B12_S2_C6_M6C
56549376	HASHID	L2_B27_S1_A6_M1A
56557568	HASHID	L2_B27_S1_A6_M2A
56565760	HASHID	L2_B27_S1_A6_M3A
56573952	HASHID	L2_B27_S1_A6_M4A
56582144	HASHID	L2_B27_S1_A6_M5A
56590336	HASHID	L2_B27_S1_A6_M6A
56541184	HASHID	L2_B27_S1_C7_M0
56532992	HASHID	L2_B27_S1_C7_M1C
56524800	HASHID	L2_B27_S1_C7_M2C
56516608	HASHID	L2_B27_S1_C7_M3C
56508416	HASHID	L2_B27_S1_C7_M4C
56500224	HASHID	L2_B27_S1_C7_M5C
56492032	HASHID	L2_B27_S1_C7_M6C
56672256	HASHID	L2_B27_S2_A7_M0
56680448	HASHID	L2_B27_S2_A7_M1A
56688640	HASHID	L2_B27_S2_A7_M2A
56696832	HASHID	L2_B27_S2_A7_M3A
56705024	HASHID	L2_B27_S2_A7_M4A
56713216	HASHID	L2_B27_S2_A7_M5A
56721408	HASHID	L2_B27_S2_A7_M6A
56664064	HASHID	L2_B27_S2_C6_M1C
56655872	HASHID	L2_B27_S2_C6_M2C
56647680	HASHID	L2_B27_S2_C6_M3C
56639488	HASHID	L2_B27_S2_C6_M4C
56631296	HASHID	L2_B27_S2_C6_M5C
56623104	HASHID	L2_B27_S2_C6_M6C
56811520	HASHID	L2_B99_S1_A6_M1A
56819712	HASHID	L2_B99_S1_A6_M2A
56827904	HASHID	L2_B99_S1_A6_M3A
56836096	HASHID	L2_B99_S1_A6_M4A
56844288	HASHID	L2_B99_S1_A6_M5A
56852480	HASHID	L2_B99_S1_A6_M6A
56803328	HASHID	L2_B99_S1_C7_M0
56795136	HASHID	L2_B99_S1_C7_M1C
56786944	HASHID	L2_B99_S1_C7_M2C
56778752	HASHID	L2_B99_S1_C7_M3C
56770560	HASHID	L2_B99_S1_C7_M4C
56762368	HASHID	L2_B99_S1_C7_M5C
56754176	HASHID	L2_B99_S1_C7_M6C
56934400	HASHID	L2_B99_S2_A7_M0
56942592	HASHID	L2_B99_S2_A7_M1A
56950784	HASHID	L2_B99_S2_A7_M2A
56958976	HASHID	L2_B99_S2_A7_M3A
56967168	HASHID	L2_B99_S2_A7_M4A
56975360	HASHID	L2_B99_S2_A7_M5A
56983552	HASHID	L2_B99_S2_A7_M6A
56926208	HASHID	L2_B99_S2_C6_M1C
56918016	HASHID	L2_B99_S2_C6_M2C
56909824	HASHID	L2_B99_S2_C6_M3C
56901632	HASHID	L2_B99_S2_C6_M4C
56893440	HASHID	L2_B99_S2_C6_M5C
56885248	HASHID	L2_B99_S2_C6_M6C
#		
#		
[2.1.2.0.6.0.0]	OFFLINEID	D1A_B05_S1_M1
[2.1.2.0.8.0.0]	OFFLINEID	D1A_B05_S1_M2
[2.1.2.0.10.0.0]	OFFLINEID	D1A_B05_S1_M3
[2.1.2.0.11.0.0]	OFFLINEID	D1A_B05_S1_M4
[2.1.2.0.9.0.0]	OFFLINEID	D1A_B05_S1_M5
[2.1.2.0.7.0.0]	OFFLINEID	D1A_B05_S1_M6
[2.1.2.0.12.0.0]	OFFLINEID	D1A_B05_S2_M1
[2.1.2.0.14.0.0]	OFFLINEID	D1A_B05_S2_M2
[2.1.2.0.16.0.0]	OFFLINEID	D1A_B05_S2_M3
[2.1.2.0.17.0.0]	OFFLINEID	D1A_B05_S2_M4
[2.1.2.0.15.0.0]	OFFLINEID	D1A_B05_S2_M5
[2.1.2.0.13.0.0]	OFFLINEID	D1A_B05_S2_M6
[2.1.0.0.21.1.0]	OFFLINEID	L0_B12_S1_A6_M1A
[2.1.0.0.21.2.0]	OFFLINEID	L0_B12_S1_A6_M2A
[2.1.0.0.21.3.0]	OFFLINEID	L0_B12_S1_A6_M3A
[2.1.0.0.21.4.0]	OFFLINEID	L0_B12_S1_A6_M4A
[2.1.0.0.21.5.0]	OFFLINEID	L0_B12_S1_A6_M5A
[2.1.0.0.21.6.0]	OFFLINEID	L0_B12_S1_A6_M6A
[2.1.0.0.21.0.0]	OFFLINEID	L0_B12_S1_C7_M0
[2.1.0.0.21.-1.0]	OFFLINEID	L0_B12_S1_C7_M1C
[2.1.0.0.21.-2.0]	OFFLINEID	L0_B12_S1_C7_M2C
[2.1.0.0.21.-3.0]	OFFLINEID	L0_B12_S1_C7_M3C
[2.1.0.0.21.-4.0]	OFFLINEID	L0_B12_S1_C7_M4C
[2.1.0.0.21.-5.0]	OFFLINEID	L0_B12_S1_C7_M5C
[2.1.0.0.21.-6.0]	OFFLINEID	L0_B12_S1_C7_M6C
[2.1.0.0.0.0.0]	OFFLINEID	L0_B12_S2_A7_M0
[2.1.0.0.0.1.0]	OFFLINEID	L0_B12_S2_A7_M1A
[2.1.0.0.0.2.0]	OFFLINEID	L0_B12_S2_A7_M2A
[2.1.0.0.0.3.0]	OFFLINEID	L0_B12_S2_A7_M3A
[2.1.0.0.0.4.0]	OFFLINEID	L0_B12_S2_A7_M4A
[2.1.0.0.0.5.0]	OFFLINEID	L0_B12_S2_A7_M5A
[2.1.0.0.0.6.0]	OFFLINEID	L0_B12_S2_A7_M6A
[2.1.0.0.0.-1.0]	OFFLINEID	L0_B12_S2_C6_M1C
[2.1.0.0.0.-2.0]	OFFLINEID	L0_B12_S2_C6_M2C
[2.1.0.0.0.-3.0]	OFFLINEID	L0_B12_S2_C6_M3C
[2.1.0.0.0.-4.0]	OFFLINEID	L0_B12_S2_C6_M4C
[2.1.0.0.0.-5.0]	OFFLINEID	L0_B12_S2_C6_M5C
[2.1.0.0.0.-6.0]	OFFLINEID	L0_B12_S2_C6_M6C
[2.1.0.2.47.1.0]	OFFLINEID	L2_B27_S1_A6_M1A
[2.1.0.2.47.2.0]	OFFLINEID	L2_B27_S1_A6_M2A
[2.1.0.2.47.3.0]	OFFLINEID	L2_B27_S1_A6_M3A
[2.1.0.2.47.4.0]	OFFLINEID	L2_B27_S1_A6_M4A
[2.1.0.2.47.5.0]	OFFLINEID	L2_B27_S1_A6_M5A
[2.1.0.2.47.6.0]	OFFLINEID	L2_B27_S1_A6_M6A
[2.1.0.2.47.0.0]	OFFLINEID	L2_B27_S1_C7_M0
[2.1.0.2.47.-1.0]	OFFLINEID	L2_B27_S1_C7_M1C
[2.1.0.2.47.-2.0]	OFFLINEID	L2_B27_S1_C7_M2C
[2.1.0.2.47.-3.0]	OFFLINEID	L2_B27_S1_C7_M3C
[2.1.0.2.47.-4.0]	OFFLINEID	L2_B27_S1_C7_M4C
[2.1.0.2.47.-5.0]	OFFLINEID	L2_B27_S1_C7_M5C
[2.1.0.2.47.-6.0]	OFFLINEID	L2_B27_S1_C7_M6C
[2.1.0.2.48.0.0]	OFFLINEID	L2_B27_S2_A7_M0
[2.1.0.2.48.1.0]	OFFLINEID	L2_B27_S2_A7_M1A
[2.1.0.2.48.2.0]	OFFLINEID	L2_B27_S2_A7_M2A
[2.1.0.2.48.3.0]	OFFLINEID	L2_B27_S2_A7_M3A
[2.1.0.2.48.4.0]	OFFLINEID	L2_B27_S2_A7_M4A
[2.1.0.2.48.5.0]	OFFLINEID	L2_B27_S2_A7_M5A
[2.1.0.2.48.6.0]	OFFLINEID	L2_B27_S2_A7_M6A
[2.1.0.2.48.-1.0]	OFFLINEID	L2_B27_S2_C6_M1C
[2.1.0.2.48.-2.0]	OFFLINEID	L2_B27_S2_C6_M2C
[2.1.0.2.48.-3.0]	OFFLINEID	L2_B27_S2_C6_M3C
[2.1.0.2.48.-4.0]	OFFLINEID	L2_B27_S2_C6_M4C
[2.1.0.2.48.-5.0]	OFFLINEID	L2_B27_S2_C6_M5C
[2.1.0.2.48.-6.0]	OFFLINEID	L2_B27_S2_C6_M6C
[2.1.0.2.49.1.0]	OFFLINEID	L2_B99_S1_A6_M1A
[2.1.0.2.49.2.0]	OFFLINEID	L2_B99_S1_A6_M2A
[2.1.0.2.49.3.0]	OFFLINEID	L2_B99_S1_A6_M3A
[2.1.0.2.49.4.0]	OFFLINEID	L2_B99_S1_A6_M4A
[2.1.0.2.49.5.0]	OFFLINEID	L2_B99_S1_A6_M5A
[2.1.0.2.49.6.0]	OFFLINEID	L2_B99_S1_A6_M6A
[2.1.0.2.49.0.0]	OFFLINEID	L2_B99_S1_C7_M0
[2.1.0.2.49.-1.0]	OFFLINEID	L2_B99_S1_C7_M1C
[2.1.0.2.49.-2.0]	OFFLINEID	L2_B99_S1_C7_M2C
[2.1.0.2.49.-3.0]	OFFLINEID	L2_B99_S1_C7_M3C
[2.1.0.2.49.-4.0]	OFFLINEID	L2_B99_S1_C7_M4C
[2.1.0.2.49.-5.0]	OFFLINEID	L2_B99_S1_C7_M5C
[2.1.0.2.49.-6.0]	OFFLINEID	L2_B99_S1_C7_M6C
[2.1.0.2.50.0.0]	OFFLINEID	L2_B99_S2_A7_M0
[2.1.0.2.50.1.0]	OFFLINEID	L2_B99_S2_A7_M1A
[2.1.0.2.50.2.0]	OFFLINEID	L2_B99_S2_A7_M2A
[2.1.0.2.50.3.0]	OFFLINEID	L2_B99_S2_A7_M3A
[2.1.0.2.50.4.0]	OFFLINEID	L2_B99_S2_A7_M4A
[2.1.0.2.50.5.0]	OFFLINEID	L2_B99_S2_A7_M5A
[2.1.0.2.50.6.0]	OFFLINEID	L2_B99_S2_A7_M6A
[2.1.0.2.50.-1.0]	OFFLINEID	L2_B99_S2_C6_M1C
[2.1.0.2.50.-2.0]	OFFLINEID	L2_B99_S2_C6_M2C
[2.1.0.2.50.-3.0]	OFFLINEID	L2_B99_S2_C6_M3C
[2.1.0.2.50.-4.0]	OFFLINEID	L2_B99_S2_C6_M4C
[2.1.0.2.50.-5.0]	OFFLINEID	L2_B99_S2_C6_M5C
[2.1.0.2.50.-6.0]	OFFLINEID	L2_B99_S2_C6_M6C
#		
# Sectors (comment out, not present in the currect connectivity scheme)		
#D1A-S09	GEOID	D1A_B05_S1
#D1A-S10	GEOID	D1A_B05_S2
#		
# Sectors (comment out, not present in the currect connectivity scheme)		
#9056	PRODID	D1A_B05_S1
#9009	PRODID	D1A_B05_S2
#14017	PRODID	L0_B12_S1
#14035	PRODID	L0_B12_S2
#14122	PRODID	L2_B27_S1
#14021	PRODID	L2_B27_S2
#14031	PRODID	L2_B99_S1
#14030	PRODID	L2_B99_S2
#		
