# $Id: connectivity_table_A34_ISP_v33.dat,v 1.1 2007-03-22 13:44:42 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
L1_B07_S1_A6	PP0	M7	L1_B07_S1_A6_M6A	MODULE	UP
D2A_B02_S2	PP0	M3	D2A_B02_S2_M1	MODULE	UP
D2A_B02_S2	PP0	M7	D2A_B02_S2_M2	MODULE	UP
D2A_B02_S2	PP0	M5	D2A_B02_S2_M3	MODULE	UP
D2A_B02_S2	PP0	M2	D2A_B02_S2_M4	MODULE	UP
D2A_B02_S2	PP0	M6	D2A_B02_S2_M5	MODULE	UP
D2A_B02_S2	PP0	M4	D2A_B02_S2_M6	MODULE	UP
					
L1_B06_S1_A6	PP0	M2	L1_B06_S1_A6_M1A	MODULE	UP
L1_B06_S1_A6	PP0	M3	L1_B06_S1_A6_M2A	MODULE	UP
L1_B06_S1_A6	PP0	M4	L1_B06_S1_A6_M3A	MODULE	UP
L1_B06_S1_A6	PP0	M5	L1_B06_S1_A6_M4A	MODULE	UP
L1_B06_S1_A6	PP0	M6	L1_B06_S1_A6_M5A	MODULE	UP
L1_B06_S1_A6	PP0	M7	L1_B06_S1_A6_M6A	MODULE	UP
L1_B06_S2_A7	PP0	M1	L1_B06_S2_A7_M0	MODULE	UP
L1_B06_S2_A7	PP0	M2	L1_B06_S2_A7_M1A	MODULE	UP
L1_B06_S2_A7	PP0	M3	L1_B06_S2_A7_M2A	MODULE	UP
L1_B06_S2_A7	PP0	M4	L1_B06_S2_A7_M3A	MODULE	UP
L1_B06_S2_A7	PP0	M5	L1_B06_S2_A7_M4A	MODULE	UP
L1_B06_S2_A7	PP0	M6	L1_B06_S2_A7_M5A	MODULE	UP
L1_B06_S2_A7	PP0	M7	L1_B06_S2_A7_M6A	MODULE	UP
					
					
Y1406S1_LV01/Output/Channel/4	LV-PS	VDD2	Y1406S1_LV_PP4_01B.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/10	LV-PS	VDD2	Y1406S1_LV_PP4_01C.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/4	LV-PS	VDD2	Y1406S1_LV_PP4_02B.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/0	LV-PS	VDD2	Y1406S1_LV_PP4_01A.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/2	LV-PS	VDD2	Y1406S1_LV_PP4_01A.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/10	LV-PS	VDD2	Y1406S1_LV_PP4_02C.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/8	LV-PS	VDD2	Y1406S1_LV_PP4_02C.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/0	LV-PS	VDD2	Y1406S1_LV_PP4_02A.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/8	LV-PS	VDD2	Y1406S1_LV_PP4_01C.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/6	LV-PS	VDD2	Y1406S1_LV_PP4_01B.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/2	LV-PS	VDD2	Y1406S1_LV_PP4_02A.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV03/Output/Channel/6	LV-PS	VDD2	Y1406S1_LV_PP4_02B.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/5	LV-PS	VDDA2	Y1406S1_LV_PP4_01B.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/11	LV-PS	VDDA2	Y1406S1_LV_PP4_01C.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/5	LV-PS	VDDA2	Y1406S1_LV_PP4_02B.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/1	LV-PS	VDDA2	Y1406S1_LV_PP4_01A.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/3	LV-PS	VDDA2	Y1406S1_LV_PP4_01A.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/11	LV-PS	VDDA2	Y1406S1_LV_PP4_02C.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/9	LV-PS	VDDA2	Y1406S1_LV_PP4_02C.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/1	LV-PS	VDDA2	Y1406S1_LV_PP4_02A.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/9	LV-PS	VDDA2	Y1406S1_LV_PP4_01C.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/7	LV-PS	VDDA2	Y1406S1_LV_PP4_01B.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/3	LV-PS	VDDA2	Y1406S1_LV_PP4_02A.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV03/Output/Channel/7	LV-PS	VDDA2	Y1406S1_LV_PP4_02B.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
					
					
Y1406S1_LV_PP4_01B.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_Board2	LV-PP2	LV-PP2-B1
Y1406S1_LV_PP4_01C.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_Board5	LV-PP2	LV-PP2-B4
Y1406S1_LV_PP4_02B.WienerCh1	LV-PP4	PP4VDDp	PP2_S22_Board2	LV-PP2	LV-PP2-B8
Y1406S1_LV_PP4_01A.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_Board0	LV-PP2	LV-PP2-B9
Y1406S1_LV_PP4_01A.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_Board1	LV-PP2	LV-PP2-B13
Y1406S1_LV_PP4_02C.WienerCh3	LV-PP4	PP4VDDp	PP2_S22_Board5	LV-PP2	LV-PP2-B14
Y1406S1_LV_PP4_02C.WienerCh1	LV-PP4	PP4VDDp	PP2_S22_Board4	LV-PP2	LV-PP2-B15
Y1406S1_LV_PP4_02A.WienerCh1	LV-PP4	PP4VDDp	PP2_S22_Board0	LV-PP2	LV-PP2-B16
Y1406S1_LV_PP4_01C.WienerCh1	LV-PP4	PP4VDDp	PP2_S21_Board4	LV-PP2	LV-PP2-B17
Y1406S1_LV_PP4_01B.WienerCh3	LV-PP4	PP4VDDp	PP2_S21_Board3	LV-PP2	LV-PP2-B19
Y1406S1_LV_PP4_02A.WienerCh3	LV-PP4	PP4VDDp	PP2_S22_Board1	LV-PP2	LV-PP2-B21
Y1406S1_LV_PP4_02B.WienerCh3	LV-PP4	PP4VDDp	PP2_S22_Board3	LV-PP2	LV-PP2-B22
Y1406S1_LV_PP4_01B.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board2	LV-PP2	LV-PP2-B25
Y1406S1_LV_PP4_01C.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board5	LV-PP2	LV-PP2-B28
Y1406S1_LV_PP4_02B.WienerCh2	LV-PP4	PP4VDDAp	PP2_S22_Board2	LV-PP2	LV-PP2-B32
Y1406S1_LV_PP4_01A.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board0	LV-PP2	LV-PP2-B33
Y1406S1_LV_PP4_01A.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board1	LV-PP2	LV-PP2-B37
Y1406S1_LV_PP4_02C.WienerCh4	LV-PP4	PP4VDDAp	PP2_S22_Board5	LV-PP2	LV-PP2-B38
Y1406S1_LV_PP4_02C.WienerCh2	LV-PP4	PP4VDDAp	PP2_S22_Board4	LV-PP2	LV-PP2-B39
Y1406S1_LV_PP4_02A.WienerCh2	LV-PP4	PP4VDDAp	PP2_S22_Board0	LV-PP2	LV-PP2-B40
Y1406S1_LV_PP4_01C.WienerCh2	LV-PP4	PP4VDDAp	PP2_S21_Board4	LV-PP2	LV-PP2-B41
Y1406S1_LV_PP4_01B.WienerCh4	LV-PP4	PP4VDDAp	PP2_S21_Board3	LV-PP2	LV-PP2-B43
Y1406S1_LV_PP4_02A.WienerCh4	LV-PP4	PP4VDDAp	PP2_S22_Board1	LV-PP2	LV-PP2-B45
Y1406S1_LV_PP4_02B.WienerCh4	LV-PP4	PP4VDDAp	PP2_S22_Board3	LV-PP2	LV-PP2-B46
					
					
PP2_S21_Board2	LV-PP2	RegBoard-2	R1_OPS2	LV-PP1	UP
PP2_S21_Board5	LV-PP2	RegBoard-5	R2_OPS3	LV-PP1	UP
PP2_S22_Board2	LV-PP2	RegBoard-2	L1_OPS2	LV-PP1	UP
PP2_S21_Board0	LV-PP2	RegBoard-0	R1_OPS1	LV-PP1	UP
PP2_S21_Board1	LV-PP2	RegBoard-1	R2_OPS1	LV-PP1	UP
PP2_S22_Board5	LV-PP2	RegBoard-5	L2_OPS3	LV-PP1	UP
PP2_S22_Board4	LV-PP2	RegBoard-4	L1_OPS3	LV-PP1	UP
PP2_S22_Board0	LV-PP2	RegBoard-0	L1_OPS1	LV-PP1	UP
PP2_S21_Board4	LV-PP2	RegBoard-4	R1_OPS3	LV-PP1	UP
PP2_S21_Board3	LV-PP2	RegBoard-3	R2_OPS2	LV-PP1	UP
PP2_S22_Board1	LV-PP2	RegBoard-1	L2_OPS1	LV-PP1	UP
PP2_S22_Board3	LV-PP2	RegBoard-3	L2_OPS2	LV-PP1	UP
					
					
R1_OPS1	LV-PP1	SLOT-9	L1_B08_S2_A7	PP0	LV-PP0-B9
R2_OPS1	LV-PP1	SLOT-13	SparePP0	PP0	LV-PP0-B13
R1_OPS2	LV-PP1	SLOT-1	D2A_B03_S1	PP0	LV-PP0-B1
R2_OPS2	LV-PP1	SLOT-19	L1_B09_S1_A6	PP0	LV-PP0-B19
R1_OPS3	LV-PP1	SLOT-17	L1_B09_S2_A7	PP0	LV-PP0-B17
R2_OPS3	LV-PP1	SLOT-4	L1_B10_S1_A6	PP0	LV-PP0-B4
L2_OPS1	LV-PP1	SLOT-16	L1_B08_S1_A6	PP0	LV-PP0-B16
L1_OPS1	LV-PP1	SLOT-21	L1_B07_S2_A7	PP0	LV-PP0-B21
L2_OPS2	LV-PP1	SLOT-8	L1_B07_S1_A6	PP0	LV-PP0-B8
L1_OPS2	LV-PP1	SLOT-22	D2A_B02_S2	PP0	LV-PP0-B22
L2_OPS3	LV-PP1	SLOT-15	L1_B06_S1_A6	PP0	LV-PP0-B15
L1_OPS3	LV-PP1	SLOT-14	L1_B06_S2_A7	PP0	LV-PP0-B14
					
					
					
Y1006S1_SC01A.SCOLink2	SCO-LINK	SCO-LINK	PP2_S21_Board2	LV-PP2	SCOL-LV-PP2-B1
Y1006S1_SC01B.SCOLink1	SCO-LINK	SCO-LINK	PP2_S21_Board5	LV-PP2	SCOL-LV-PP2-B4
Y1006S1_SC01D.SCOLink2	SCO-LINK	SCO-LINK	PP2_S22_Board2	LV-PP2	SCOL-LV-PP2-B8
Y1006S1_SC01A.SCOLink0	SCO-LINK	SCO-LINK	PP2_S21_Board0	LV-PP2	SCOL-LV-PP2-B9
Y1006S1_SC01A.SCOLink1	SCO-LINK	SCO-LINK	PP2_S21_Board1	LV-PP2	SCOL-LV-PP2-B13
Y1006S1_SC02A.SCOLink1	SCO-LINK	SCO-LINK	PP2_S22_Board5	LV-PP2	SCOL-LV-PP2-B14
Y1006S1_SC02A.SCOLink0	SCO-LINK	SCO-LINK	PP2_S22_Board4	LV-PP2	SCOL-LV-PP2-B15
Y1006S1_SC01D.SCOLink0	SCO-LINK	SCO-LINK	PP2_S22_Board0	LV-PP2	SCOL-LV-PP2-B16
Y1006S1_SC01B.SCOLink0	SCO-LINK	SCO-LINK	PP2_S21_Board4	LV-PP2	SCOL-LV-PP2-B17
Y1006S1_SC01A.SCOLink3	SCO-LINK	SCO-LINK	PP2_S21_Board3	LV-PP2	SCOL-LV-PP2-B19
Y1006S1_SC01D.SCOLink1	SCO-LINK	SCO-LINK	PP2_S22_Board1	LV-PP2	SCOL-LV-PP2-B21
Y1006S1_SC01D.SCOLink3	SCO-LINK	SCO-LINK	PP2_S22_Board3	LV-PP2	SCOL-LV-PP2-B22
					
					
Y1206S1	HV-PS-RACK	SLOT-0	Y1206S1_HV01	HV-PS-CRATE	UP
